ENSEMBL;symbol;FoldChange;padj
ENSMUSG00000024803.9;Ankrd1;340.2574698;6.14772E-06
ENSMUSG00000024245.4;Tmem178;229.2954432;5.96204E-11
ENSMUSG00000079362.5;NA;196.428346;0.036662973
ENSMUSG00000044716.12;Dok7;179.3389968;2.37743E-10
ENSMUSG00000019997.11;Ccn2;172.8779864;1.04636E-17
ENSMUSG00000016283.13;H2-M2;157.4427625;2.47644E-17
ENSMUSG00000046352.7;Gjb2;157.175273;0.003117286
ENSMUSG00000033576.12;Apol6;147.3099169;0.003117286
ENSMUSG00000024032.7;Tff1;127.7035764;1.29324E-05
ENSMUSG00000055030.1;Sprr2e;117.7701481;2.4041E-10
ENSMUSG00000044461.6;Shisa2;116.6900822;0.000992158
ENSMUSG00000078249.5;Hmga1b;114.646352;1.20085E-05
ENSMUSG00000067818.6;Myl9;104.9389122;0.001765207
ENSMUSG00000032085.5;Tagln;97.05891375;3.3934E-30
ENSMUSG00000022754.6;Tmem45a;96.31002032;0.000109801
ENSMUSG00000035373.2;Ccl7;92.03386306;5.53815E-12
ENSMUSG00000035352.3;Ccl12;87.71143548;2.70324E-06
ENSMUSG00000032532.7;Cck;87.48117257;2.35179E-10
ENSMUSG00000050069.3;Grem2;86.15537504;0.000373456
ENSMUSG00000009281.6;Rarres2;82.78887168;7.9852E-13
ENSMUSG00000022367.7;Has2;77.35793802;0.010373781
ENSMUSG00000035186.6;Ubd;68.72910283;0.002188303
ENSMUSG00000056900.13;Usp13;68.66576386;0.005864596
ENSMUSG00000035385.5;Ccl2;67.21874774;1.82757E-08
ENSMUSG00000074500.11;Zfp558;59.03264192;5.36653E-19
ENSMUSG00000066363.12;Serpina3f;52.43523385;0.030195722
ENSMUSG00000018604.18;Tbx3;51.92453922;0.0099988
ENSMUSG00000028195.4;Ccn1;51.35658363;9.89833E-17
ENSMUSG00000048806.4;Ifnb1;49.82773105;0.001955026
ENSMUSG00000020808.3;Pimreg;49.54715893;0.000632619
ENSMUSG00000031760.9;Mt3;49.49043733;4.36487E-06
ENSMUSG00000027832.5;Ptx3;48.29460716;1.50116E-07
ENSMUSG00000031963.8;Bmper;46.86449018;0.015165359
ENSMUSG00000034997.5;Htr2a;45.79122073;6.67876E-06
ENSMUSG00000041431.16;Ccnb1;45.11184509;2.97398E-06
ENSMUSG00000034855.13;Cxcl10;44.90951219;1.92451E-13
ENSMUSG00000002900.16;Lamb1;43.57581743;3.22047E-07
ENSMUSG00000024529.14;Lox;42.87310847;5.34591E-12
ENSMUSG00000037712.16;Fermt2;40.91718443;1.70578E-06
ENSMUSG00000024401.14;Tnf;40.78478298;5.7292E-14
ENSMUSG00000032372.14;Plscr2;40.59407408;0.000168647
ENSMUSG00000021994.15;Wnt5a;40.53152821;0.006790398
ENSMUSG00000041324.14;Inhba;39.42332605;1.21097E-06
ENSMUSG00000026208.9;Des;38.99314093;2.94336E-05
ENSMUSG00000005089.15;Slc1a2;37.78298322;5.87257E-05
ENSMUSG00000008136.14;Fhl2;37.51967533;0.000977726
ENSMUSG00000026207.16;Speg;37.28771098;0.013603096
ENSMUSG00000053110.13;Yap1;37.28014978;0.001274964
ENSMUSG00000021367.8;Edn1;37.13385865;1.63998E-09
ENSMUSG00000105096.1;Gbp10;36.53868029;8.88906E-06
ENSMUSG00000050578.10;Mmp13;35.45833858;6.42444E-13
ENSMUSG00000040133.2;Gpr176;35.17713364;2.63866E-06
ENSMUSG00000026475.7;Rgs16;34.92918845;1.35214E-06
ENSMUSG00000033965.10;Slc16a2;34.92350648;0.009585599
ENSMUSG00000031762.7;Mt2;34.65177793;3.06007E-13
ENSMUSG00000075012.4;Fjx1;34.00774921;0.000869248
ENSMUSG00000029417.9;Cxcl9;32.84675903;1.05525E-05
ENSMUSG00000022033.9;Pbk;32.76856344;0.000219607
ENSMUSG00000015653.13;Steap2;32.08892223;0.006002309
ENSMUSG00000004113.18;Cacna1b;31.23831486;0.000498494
ENSMUSG00000026343.6;Gpr39;30.89652952;0.000412454
ENSMUSG00000091243.2;Vgll3;30.56426672;0.000315726
ENSMUSG00000030500.6;Slc17a6;30.11052552;0.01820034
ENSMUSG00000020044.13;Timp3;29.96567291;1.14327E-09
ENSMUSG00000024486.6;Hbegf;29.86649508;5.52E-17
ENSMUSG00000054555.11;Adam12;29.38905457;0.017286365
ENSMUSG00000027399.1;Il1a;28.98392623;3.7486E-07
ENSMUSG00000030796.17;Tead2;28.86159706;0.008343549
