Gene;symbol;log2FoldChange;padj
ENSMUSG00000069919.7;Hba-a1;13.33566314;5.36578E-19
ENSMUSG00000052305.6;Hbb-b1;11.003959;3.57658E-41
ENSMUSG00000069917.7;Hba-a2;10.87710412;3.99134E-23
ENSMUSG00000073940.3;Hbb-bt;10.39804988;2.28668E-11
ENSMUSG00000023078.6;Cxcl13;8.40583576;4.40678E-69
ENSMUSG00000025270.13;Alas2;7.650451898;3.99283E-07
ENSMUSG00000050493.8;Fam167b;7.517559049;2.15852E-07
ENSMUSG00000032915.6;Adgre4;7.317633349;6.58331E-34
ENSMUSG00000038276.12;Asic3;6.991154841;1.01456E-07
ENSMUSG00000036826.14;Igflr1;6.942370642;5.20075E-07
ENSMUSG00000026357.3;Rgs18;6.842369316;1.95444E-09
ENSMUSG00000021702.7;Thbs4;6.637234637;2.72823E-06
ENSMUSG00000044206.3;Vsig4;6.633872549;1.72893E-26
ENSMUSG00000018924.6;Alox15;6.574560984;9.583E-119
ENSMUSG00000059108.4;Ifitm6;6.366340712;6.00445E-51
ENSMUSG00000047592.17;Nxpe5;6.013587915;3.33196E-16
ENSMUSG00000022997.9;Wnt1;5.934399236;2.79439E-05
ENSMUSG00000028031.6;Dkk2;5.715770958;6.22403E-13
ENSMUSG00000021614.16;Vcan;5.641002751;0
ENSMUSG00000015852.13;Fcrls;5.633292669;7.42329E-05
ENSMUSG00000069609.7;Cd300ld4;5.605950575;1.2408E-10
ENSMUSG00000061100.5;Retnla;5.570981622;4.8969E-72
ENSMUSG00000108815.1;NA;5.490102226;4.39725E-05
ENSMUSG00000041797.7;Abca9;5.440219615;6.09347E-62
ENSMUSG00000008845.9;Cd163;5.356095601;1.82338E-20
ENSMUSG00000009614.16;Sardh;5.341224308;1.31338E-07
ENSMUSG00000046152.16;Fut10;5.280971471;1.62815E-17
ENSMUSG00000115232.1;NA;5.242944065;2.79298E-11
ENSMUSG00000071847.13;Apcdd1;5.219069732;3.25193E-07
ENSMUSG00000020017.14;Hal;5.142267543;3.46599E-16
ENSMUSG00000030731.13;Syt3;4.943663487;0.000654091
ENSMUSG00000001870.16;Ltbp1;4.8932586;6.47471E-29
ENSMUSG00000025701.12;Alox5;4.821825606;7.9497E-182
ENSMUSG00000037224.15;Zfyve28;4.773306478;3.8722E-09
ENSMUSG00000042684.8;Npl;4.724164274;2.79368E-10
ENSMUSG00000047094.9;Ofcc1;4.677061211;1.35128E-06
ENSMUSG00000027318.17;Adam33;4.675825075;1.97508E-08
ENSMUSG00000070880.10;Gad1;4.641724817;0.000438695
ENSMUSG00000022756.17;Slc7a4;4.604918614;0.000206855
ENSMUSG00000032315.6;Cyp1a1;4.590675128;8.33814E-26
ENSMUSG00000028539.14;Artn;4.538995344;4.75098E-06
ENSMUSG00000057729.12;Prtn3;4.467381668;2.01101E-08
ENSMUSG00000027848.12;Olfml3;4.464989061;1.84767E-16
ENSMUSG00000029372.7;Ppbp;4.330741697;5.54047E-44
ENSMUSG00000031849.9;Comp;4.324778811;5.14431E-06
ENSMUSG00000089960.1;Ugt1a1;4.321306306;0.000590554
ENSMUSG00000038540.14;Tmc3;4.228752915;1.77232E-69
ENSMUSG00000001020.8;S100a4;4.225781421;1.13529E-76
ENSMUSG00000033032.15;Afap1l1;4.191575226;1.53868E-11
ENSMUSG00000033740.17;St18;4.147426825;2.38327E-05
ENSMUSG00000007805.4;Twist2;4.114302602;0.000228276
ENSMUSG00000052698.15;Tln2;4.056020416;1.40651E-48
ENSMUSG00000070390.12;Nlrp1b;4.036839156;9.74498E-14
ENSMUSG00000001493.9;Meox1;4.002347587;0.000123153
ENSMUSG00000030329.11;Pianp;3.991683516;2.37753E-10
ENSMUSG00000021765.9;Fst;3.953666955;5.07543E-08
ENSMUSG00000066235.7;Pomgnt2;3.945612465;1.13802E-06
ENSMUSG00000006930.15;Hap1;3.942970336;8.23038E-07
ENSMUSG00000020092.9;Pald1;3.933982189;2.8973E-17
ENSMUSG00000015843.10;Rxrg;3.817644452;9.66539E-06
ENSMUSG00000044229.9;Nxpe4;3.798508324;1.08073E-22
ENSMUSG00000072875.2;Gpr27;3.75061614;6.10704E-05
