interactor_1,intaractor_2,intaraction_type
mmu-let-7c-1-3p,Scamp5,1
mmu-let-7c-1-3p,Scamp5,1
mmu-let-7c-1-3p,Hivep2,1
mmu-let-7c-1-3p,Hivep2,1
mmu-let-7c-1-3p,Otud1,1
mmu-let-7c-1-3p,Cldn23,1
mmu-let-7c-1-3p,Cldn23,1
mmu-let-7c-1-3p,Mt2,1
mmu-let-7c-1-3p,Mt2,1
mmu-let-7c-1-3p,Mt2,1
mmu-let-7c-1-3p,Mt2,1
mmu-let-7c-1-3p,Cldn23,1
mmu-let-7c-1-3p,Cldn23,1
mmu-let-7c-1-3p,Cdh11,1
mmu-let-7c-1-3p,Hivep2,1
mmu-let-7c-1-3p,Hivep2,1
mmu-let-7c-1-3p,Scamp5,1
mmu-let-7c-1-3p,Scamp5,1
mmu-miR-134-5p,Hyal1,2
mmu-miR-134-5p,Hyal1,2
mmu-miR-134-5p,Hyal1,2
mmu-miR-134-5p,Hyal1,2
mmu-miR-144-3p,Tnfsf11,1
mmu-miR-144-3p,Tnfsf11,1
mmu-miR-144-3p,Zdhhc21,1
mmu-miR-144-3p,Tnfsf11,1
mmu-miR-144-3p,Tnfsf11,1
mmu-miR-147-5p,Ppbp,2
mmu-miR-147-5p,Cd200,2
mmu-miR-147-5p,Cd200,2
mmu-miR-147-5p,Cd200,2
mmu-miR-147-5p,Rab33a,2
mmu-miR-147-5p,Tmem98,2
mmu-miR-147-5p,Cd200,2
mmu-miR-147-5p,Cd200,2
mmu-miR-147-5p,Cd200,2
mmu-miR-147-5p,Mylip,2
mmu-miR-147-5p,Cd200,2
mmu-miR-147-5p,Cd200,2
mmu-miR-147-5p,Cd200,2
mmu-miR-147-5p,Ammecr1l,2
mmu-miR-182-5p,Nckap1,2
mmu-miR-182-5p,Nckap1,2
mmu-miR-182-5p,Rnf152,2
mmu-miR-182-5p,Has2,2
mmu-miR-182-5p,Usp13,2
mmu-miR-182-5p,Palld,2
mmu-miR-182-5p,Adcy6,2
mmu-miR-182-5p,Rab6b,2
mmu-miR-182-5p,Tns3,2
mmu-miR-182-5p,Nckap1,2
mmu-miR-182-5p,Nckap1,2
mmu-miR-182-5p,Ncoa4,2
mmu-miR-182-5p,Fgf9,2
mmu-miR-182-5p,Tagln3,2
mmu-miR-183-5p,Idh2,2
mmu-miR-183-5p,Idh2,2
mmu-miR-183-5p,Ctdspl,2
mmu-miR-183-5p,Unc13b,2
mmu-miR-183-5p,Unc13b,2
mmu-miR-183-5p,Grem2,2
mmu-miR-183-5p,Unc13b,2
mmu-miR-183-5p,Unc13b,2
mmu-miR-183-5p,Frmd6,2
mmu-miR-183-5p,Idh2,2
mmu-miR-183-5p,Idh2,2
mmu-miR-300-3p,Syt11,2
mmu-miR-370-3p,Artn,2
mmu-miR-370-3p,Stap1,2
mmu-miR-455-5p,Mylip,2
mmu-miR-466i-3p,Sox5,2
mmu-miR-466i-3p,Casz1,2
