mirna_db,gene_symbol_db,fold_change_db
mmu-let-7c-1-3p,Scamp5,2.34294
mmu-let-7c-1-3p,Scamp5,2.34294
mmu-let-7c-1-3p,Hivep2,-1.5811986
mmu-let-7c-1-3p,Hivep2,-1.5811986
mmu-let-7c-1-3p,Otud1,-1.78022
mmu-let-7c-1-3p,Cldn23,-1.938099
mmu-let-7c-1-3p,Cldn23,-1.938099
mmu-let-7c-1-3p,Mt2,34.65178
mmu-let-7c-1-3p,Mt2,34.65178
mmu-let-7c-1-3p,Mt2,16.219326
mmu-let-7c-1-3p,Mt2,16.219326
mmu-let-7c-1-3p,Cldn23,6.1502905
mmu-let-7c-1-3p,Cldn23,6.1502905
mmu-let-7c-1-3p,Cdh11,5.5974345
mmu-let-7c-1-3p,Hivep2,5.239685
mmu-let-7c-1-3p,Hivep2,5.239685
mmu-let-7c-1-3p,Scamp5,0.12758975
mmu-let-7c-1-3p,Scamp5,0.12758975
mmu-miR-134-5p,Hyal1,-3.6432312
mmu-miR-134-5p,Hyal1,-3.6432312
mmu-miR-134-5p,Hyal1,6.286996
mmu-miR-134-5p,Hyal1,6.286996
mmu-miR-144-3p,Tnfsf11,19.398119
mmu-miR-144-3p,Tnfsf11,19.398119
mmu-miR-144-3p,Zdhhc21,7.7483325
mmu-miR-144-3p,Tnfsf11,5.737158
mmu-miR-144-3p,Tnfsf11,5.737158
mmu-miR-147-5p,Ppbp,4.330742
mmu-miR-147-5p,Cd200,-3.1905859
mmu-miR-147-5p,Cd200,-3.1905859
mmu-miR-147-5p,Cd200,-3.1905859
mmu-miR-147-5p,Rab33a,-4.6136117
mmu-miR-147-5p,Tmem98,12.019561
mmu-miR-147-5p,Cd200,10.052778
mmu-miR-147-5p,Cd200,10.052778
mmu-miR-147-5p,Cd200,10.052778
mmu-miR-147-5p,Mylip,0.19357686
mmu-miR-147-5p,Cd200,19.326265
mmu-miR-147-5p,Cd200,19.326265
mmu-miR-147-5p,Cd200,19.326265
mmu-miR-147-5p,Ammecr1l,4.874313
mmu-miR-182-5p,Nckap1,-1.7212731
mmu-miR-182-5p,Nckap1,-1.7212731
mmu-miR-182-5p,Rnf152,-2.10623
mmu-miR-182-5p,Has2,77.35794
mmu-miR-182-5p,Usp13,68.665764
mmu-miR-182-5p,Palld,6.543422
mmu-miR-182-5p,Adcy6,0.2297701
mmu-miR-182-5p,Rab6b,0.22517523
mmu-miR-182-5p,Tns3,5.8486843
mmu-miR-182-5p,Nckap1,5.1303387
mmu-miR-182-5p,Nckap1,5.1303387
mmu-miR-182-5p,Ncoa4,4.727122
mmu-miR-182-5p,Fgf9,0.04518188
mmu-miR-182-5p,Tagln3,0.03636322
mmu-miR-183-5p,Idh2,2.611624
mmu-miR-183-5p,Idh2,2.611624
mmu-miR-183-5p,Ctdspl,2.1678064
mmu-miR-183-5p,Unc13b,1.6727734
mmu-miR-183-5p,Unc13b,1.6727734
mmu-miR-183-5p,Grem2,86.15537
mmu-miR-183-5p,Unc13b,0.21601471
mmu-miR-183-5p,Unc13b,0.21601471
mmu-miR-183-5p,Frmd6,5.21253
mmu-miR-183-5p,Idh2,0.1859179
mmu-miR-183-5p,Idh2,0.1859179
mmu-miR-300-3p,Syt11,0.21293439
mmu-miR-370-3p,Artn,4.5389953
mmu-miR-370-3p,Stap1,2.8258533
mmu-miR-455-5p,Mylip,0.19357686
mmu-miR-466i-3p,Sox5,1.6654336
mmu-miR-466i-3p,Casz1,-2.0146744
mmu-miR-466i-3p,Rnf152,-2.10623
mmu-miR-466i-3p,Htr2b,12.291972
mmu-miR-466i-3p,Htr2b,-2.1768098
mmu-miR-466i-3p,Adamts9,24.902493
mmu-miR-466i-3p,Plag1,17.500364
mmu-miR-466i-3p,Htr2b,12.291972
mmu-miR-466i-3p,Htr2b,-2.1768098
mmu-miR-466i-3p,Cdk12,6.8202186
mmu-miR-466i-3p,Zfp808,6.201251
mmu-miR-466i-3p,Tns3,5.8486843
mmu-miR-466i-3p,Egr3,5.8115964
mmu-miR-466i-3p,Inpp4b,4.49913
mmu-miR-466i-3p,B3gnt2,4.2962914
mmu-miR-486a-3p,Nat8l,0.13553436
mmu-miR-486a-3p,Nat8l,3.533277
mmu-miR-486a-3p,Ifitm1,0.10428044
mmu-miR-486a-3p,Ifitm1,3.1693325
mmu-miR-486a-3p,Glis2,2.1372087
mmu-miR-486a-3p,Ttyh3,1.7079923
mmu-miR-486a-3p,Ccl22,1.5137316
mmu-miR-486a-3p,Fcgr4,-1.5586685
mmu-miR-486a-3p,Fam102a,5.2021832
mmu-miR-486a-3p,Fam102a,-1.700941
mmu-miR-486a-3p,Adamts4,4.839337
mmu-miR-486a-3p,Adamts4,-2.3532832
mmu-miR-486a-3p,Hmga1,5.721247
mmu-miR-486a-3p,Hmga1,4.976725
mmu-miR-486a-3p,Hmga1,-2.5635362
mmu-miR-486a-3p,Dusp8,4.2018423
mmu-miR-486a-3p,Dusp8,-2.8780117
mmu-miR-486a-3p,Il2rb,20.760075
mmu-miR-486a-3p,Il2rb,9.814449
mmu-miR-486a-3p,Il2rb,-3.3556452
mmu-miR-486a-3p,Bgn,7.7051334
mmu-miR-486a-3p,Bgn,26.561913
mmu-miR-486a-3p,Flnc,7.763793
mmu-miR-486a-3p,Flnc,22.44065
mmu-miR-486a-3p,Il2rb,20.760075
mmu-miR-486a-3p,Il2rb,9.814449
mmu-miR-486a-3p,Il2rb,-3.3556452
mmu-miR-486a-3p,Hmga1,5.721247
mmu-miR-486a-3p,Hmga1,4.976725
mmu-miR-486a-3p,Hmga1,-2.5635362
mmu-miR-486a-3p,Pcsk4,0.115515225
mmu-miR-486a-3p,Il2rb,20.760075
mmu-miR-486a-3p,Il2rb,9.814449
mmu-miR-486a-3p,Il2rb,-3.3556452
mmu-miR-486a-3p,Flnc,7.763793
