mirna_db,gene_symbol_db,fold_change_db
let-7c-1-3p,Mt2,34.65178
miR-144-3p,Tnfsf11,19.398119
miR-147-5p,Tmem98,12.019561
miR-147-5p,Cd200,10.052778
miR-147-5p,Mylip,0.19357686
miR-182-5p,Has2,77.35794
miR-182-5p,Usp13,68.665764
miR-182-5p,Palld,6.543422
miR-182-5p,Adcy6,0.2297701
miR-182-5p,Rab6b,0.22517523
miR-183-5p,Grem2,86.15537
miR-183-5p,Unc13b,0.21601471
miR-455-5p,Mylip,0.19357686
miR-466i-3p,Adamts9,24.902493
miR-486a-3p,Bgn,26.561913
miR-486a-3p,Flnc,22.44065
miR-486a-3p,Il2rb,9.814449
miR-486a-3p,Hmga1,4.976725
miR-486a-3p,Pcsk4,0.115515225
miR-96-5p,Hbegf,29.866495
miR-96-5p,Prrx1,7.3707433
miR-96-5p,Adcy6,0.2297701
miR-96-5p,Rgs2,0.09542484
