mirna_db,gene_symbol_db,fold_change_db
let-7c-1-3p,Mt2,16.219326
let-7c-1-3p,Cldn23,6.1502905
let-7c-1-3p,Cdh11,5.5974345
let-7c-1-3p,Hivep2,5.239685
let-7c-1-3p,Scamp5,0.12758975
miR-134-5p,Hyal1,6.286996
miR-144-3p,Zdhhc21,7.7483325
miR-144-3p,Tnfsf11,5.737158
miR-147-5p,Cd200,19.326265
miR-147-5p,Ammecr1l,4.874313
miR-182-5p,Tns3,5.8486843
miR-182-5p,Nckap1,5.1303387
miR-182-5p,Ncoa4,4.727122
miR-182-5p,Fgf9,0.04518188
miR-182-5p,Tagln3,0.03636322
miR-183-5p,Frmd6,5.21253
miR-183-5p,Idh2,0.1859179
miR-300-3p,Syt11,0.21293439
miR-466i-3p,Plag1,17.500364
miR-466i-3p,Htr2b,12.291972
miR-466i-3p,Cdk12,6.8202186
miR-466i-3p,Zfp808,6.201251
miR-466i-3p,Tns3,5.8486843
miR-466i-3p,Egr3,5.8115964
miR-466i-3p,Inpp4b,4.49913
miR-466i-3p,B3gnt2,4.2962914
miR-486a-3p,Il2rb,20.760075
miR-486a-3p,Flnc,7.763793
miR-486a-3p,Bgn,7.7051334
miR-486a-3p,Hmga1,5.721247
miR-486a-3p,Fam102a,5.2021832
miR-486a-3p,Adamts4,4.839337
miR-486a-3p,Dusp8,4.2018423
miR-486a-3p,Nat8l,0.13553436
miR-486a-3p,Ifitm1,0.10428044
miR-96-5p,Slc12a6,367.3522
miR-96-5p,Hbegf,12.590953
miR-96-5p,Farp1,10.585465
miR-96-5p,Prrx1,4.234698
miR-96-5p,Ntn4,0.1531355
miR-96-5p,Lrrc3,0.11950561
miR-96-5p,Foxq1,0.08525521
miR-96-5p,Rab3c,0.06359235
miR-96-5p,Rgs2,0.05254826
