mirna_db,gene_symbol_db,fold_change_db
let-7c-1-3p,Scamp5,2.34294
let-7c-1-3p,Hivep2,-1.5811986
let-7c-1-3p,Otud1,-1.78022
let-7c-1-3p,Cldn23,-1.938099
miR-134-5p,Hyal1,-3.6432312
miR-147-5p,Ppbp,4.330742
miR-147-5p,Cd200,-3.1905859
miR-147-5p,Rab33a,-4.6136117
miR-182-5p,Nckap1,-1.7212731
miR-182-5p,Rnf152,-2.10623
miR-183-5p,Idh2,2.611624
miR-183-5p,Ctdspl,2.1678064
miR-183-5p,Unc13b,1.6727734
miR-370-3p,Artn,4.5389953
miR-370-3p,Stap1,2.8258533
miR-466i-3p,Sox5,1.6654336
miR-466i-3p,Casz1,-2.0146744
miR-466i-3p,Rnf152,-2.10623
miR-466i-3p,Htr2b,-2.1768098
miR-486a-3p,Nat8l,3.533277
miR-486a-3p,Ifitm1,3.1693325
miR-486a-3p,Glis2,2.1372087
miR-486a-3p,Ttyh3,1.7079923
miR-486a-3p,Ccl22,1.5137316
miR-486a-3p,Fcgr4,-1.5586685
miR-486a-3p,Fam102a,-1.700941
miR-486a-3p,Adamts4,-2.3532832
miR-486a-3p,Hmga1,-2.5635362
miR-486a-3p,Dusp8,-2.8780117
miR-486a-3p,Il2rb,-3.3556452
miR-96-5p,Foxq1,2.81121
miR-96-5p,Serpinb2,2.6631632
miR-96-5p,Ntn4,2.5042953
miR-96-5p,Lrrc3,2.320725
miR-96-5p,Rgs2,1.7544854
miR-96-5p,Ttyh3,1.7079923
miR-96-5p,Sox5,1.6654336
miR-96-5p,Slc6a9,1.6587117
miR-96-5p,Sh3bp5,1.5192605
miR-96-5p,Tsku,1.5030104
miR-96-5p,Slc12a6,-1.6085275
miR-96-5p,Prrx1,-1.9865
miR-96-5p,Hbegf,-2.2722616
miR-96-5p,Farp1,-2.688648
miR-96-5p,Trib3,-3.610622
miR-99a-5p,Ctdspl,2.1678064
