mirna_db,gene_symbol_db,gene_description_db
mmu-let-7c-1-3p,Mt2,metallothionein 2
mmu-let-7c-1-3p,Cldn23,claudin 23
mmu-let-7c-1-3p,Cdh11,cadherin 11
mmu-let-7c-1-3p,Hivep2,human immunodeficiency virus type I enhancer binding protein 2
mmu-let-7c-1-3p,Scamp5,secretory carrier membrane protein 5
mmu-miR-134-5p,Hyal1,hyaluronoglucosaminidase 1
mmu-miR-144-3p,Zdhhc21,"zinc finger, DHHC domain containing 21"
mmu-miR-144-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
mmu-miR-147-5p,Cd200,CD200 antigen
mmu-miR-147-5p,Ammecr1l,AMME chromosomal region gene 1-like
mmu-miR-182-5p,Tns3,tensin 3
mmu-miR-182-5p,Nckap1,NCK-associated protein 1
mmu-miR-182-5p,Ncoa4,nuclear receptor coactivator 4
mmu-miR-182-5p,Fgf9,fibroblast growth factor 9
mmu-miR-182-5p,Tagln3,transgelin 3
mmu-miR-183-5p,Frmd6,FERM domain containing 6
mmu-miR-183-5p,Idh2,"isocitrate dehydrogenase 2 (NADP+), mitochondrial"
mmu-miR-300-3p,Syt11,synaptotagmin XI
mmu-miR-466i-3p,Plag1,pleiomorphic adenoma gene 1
mmu-miR-466i-3p,Htr2b,5-hydroxytryptamine (serotonin) receptor 2B
mmu-miR-466i-3p,Cdk12,cyclin-dependent kinase 12
mmu-miR-466i-3p,Zfp808,zinc finger protein 808
mmu-miR-466i-3p,Tns3,tensin 3
mmu-miR-466i-3p,Egr3,early growth response 3
mmu-miR-466i-3p,Inpp4b,"inositol polyphosphate-4-phosphatase, type II"
mmu-miR-466i-3p,B3gnt2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"
mmu-miR-486a-3p,Il2rb,"interleukin 2 receptor, beta chain"
mmu-miR-486a-3p,Flnc,"filamin C, gamma"
mmu-miR-486a-3p,Bgn,biglycan
mmu-miR-486a-3p,Hmga1,high mobility group AT-hook 1
mmu-miR-486a-3p,Fam102a,"family with sequence similarity 102, member A"
mmu-miR-486a-3p,Adamts4,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4"
mmu-miR-486a-3p,Dusp8,dual specificity phosphatase 8
mmu-miR-486a-3p,Nat8l,N-acetyltransferase 8-like
mmu-miR-486a-3p,Ifitm1,interferon induced transmembrane protein 1
mmu-miR-96-5p,Slc12a6,"solute carrier family 12, member 6"
mmu-miR-96-5p,Hbegf,heparin-binding EGF-like growth factor
mmu-miR-96-5p,Farp1,"FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived)"
mmu-miR-96-5p,Prrx1,paired related homeobox 1
mmu-miR-96-5p,Ntn4,netrin 4
mmu-miR-96-5p,Lrrc3,leucine rich repeat containing 3
mmu-miR-96-5p,Foxq1,forkhead box Q1
mmu-miR-96-5p,Rab3c,"RAB3C, member RAS oncogene family"
mmu-miR-96-5p,Rgs2,regulator of G-protein signaling 2
