mirna_db,gene_symbol_db,gene_description_db
mmu-let-7c-1-3p,Scamp5,secretory carrier membrane protein 5
mmu-let-7c-1-3p,Hivep2,human immunodeficiency virus type I enhancer binding protein 2
mmu-let-7c-1-3p,Otud1,OTU domain containing 1
mmu-let-7c-1-3p,Cldn23,claudin 23
mmu-miR-134-5p,Hyal1,hyaluronoglucosaminidase 1
mmu-miR-147-5p,Ppbp,pro-platelet basic protein
mmu-miR-147-5p,Cd200,CD200 antigen
mmu-miR-147-5p,Rab33a,"RAB33A, member RAS oncogene family"
mmu-miR-182-5p,Nckap1,NCK-associated protein 1
mmu-miR-182-5p,Rnf152,ring finger protein 152
mmu-miR-183-5p,Idh2,"isocitrate dehydrogenase 2 (NADP+), mitochondrial"
mmu-miR-183-5p,Ctdspl,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like"
mmu-miR-183-5p,Unc13b,unc-13 homolog B
mmu-miR-370-3p,Artn,artemin
mmu-miR-370-3p,Stap1,signal transducing adaptor family member 1
mmu-miR-466i-3p,Sox5,SRY (sex determining region Y)-box 5
mmu-miR-466i-3p,Casz1,castor zinc finger 1
mmu-miR-466i-3p,Rnf152,ring finger protein 152
mmu-miR-466i-3p,Htr2b,5-hydroxytryptamine (serotonin) receptor 2B
mmu-miR-486a-3p,Nat8l,N-acetyltransferase 8-like
mmu-miR-486a-3p,Ifitm1,interferon induced transmembrane protein 1
mmu-miR-486a-3p,Glis2,GLIS family zinc finger 2
mmu-miR-486a-3p,Ttyh3,tweety family member 3
mmu-miR-486a-3p,Ccl22,chemokine (C-C motif) ligand 22
mmu-miR-486a-3p,Fcgr4,"Fc receptor, IgG, low affinity IV"
mmu-miR-486a-3p,Fam102a,"family with sequence similarity 102, member A"
mmu-miR-486a-3p,Adamts4,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4"
mmu-miR-486a-3p,Hmga1,high mobility group AT-hook 1
mmu-miR-486a-3p,Dusp8,dual specificity phosphatase 8
mmu-miR-486a-3p,Il2rb,"interleukin 2 receptor, beta chain"
mmu-miR-96-5p,Foxq1,forkhead box Q1
mmu-miR-96-5p,Serpinb2,"serine (or cysteine) peptidase inhibitor, clade B, member 2"
mmu-miR-96-5p,Ntn4,netrin 4
mmu-miR-96-5p,Lrrc3,leucine rich repeat containing 3
mmu-miR-96-5p,Rgs2,regulator of G-protein signaling 2
mmu-miR-96-5p,Ttyh3,tweety family member 3
mmu-miR-96-5p,Sox5,SRY (sex determining region Y)-box 5
mmu-miR-96-5p,Slc6a9,"solute carrier family 6 (neurotransmitter transporter, glycine), member 9"
mmu-miR-96-5p,Sh3bp5,SH3-domain binding protein 5 (BTK-associated)
mmu-miR-96-5p,Tsku,"tsukushi, small leucine rich proteoglycan"
mmu-miR-96-5p,Slc12a6,"solute carrier family 12, member 6"
mmu-miR-96-5p,Prrx1,paired related homeobox 1
mmu-miR-96-5p,Hbegf,heparin-binding EGF-like growth factor
mmu-miR-96-5p,Farp1,"FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived)"
mmu-miR-96-5p,Trib3,tribbles pseudokinase 3
mmu-miR-99a-5p,Ctdspl,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like"
