TargetScore,miRNA,GeneSymbol,GeneDescription
98,mmu-miR-409-3p,Rbm46,RNA binding motif protein 46
97,mmu-miR-409-3p,Ythdf3,YTH N6-methyladenosine RNA binding protein 3
96,mmu-miR-409-3p,Pigw,"phosphatidylinositol glycan anchor biosynthesis, class W"
96,mmu-miR-409-3p,Mtf2,metal response element binding transcription factor 2
96,mmu-miR-409-3p,Nfkbiz,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta"
96,mmu-miR-409-3p,Zfp189,zinc finger protein 189
96,mmu-miR-409-3p,Gucy1a2,"guanylate cyclase 1, soluble, alpha 2"
95,mmu-miR-409-3p,Rab10,"RAB10, member RAS oncogene family"
94,mmu-miR-409-3p,Kansl1,KAT8 regulatory NSL complex subunit 1
94,mmu-miR-409-3p,Lmo4,LIM domain only 4
93,mmu-miR-409-3p,Nexmif,neurite extension and migration factor
93,mmu-miR-409-3p,Whrn,whirlin
92,mmu-miR-409-3p,Dsc2,desmocollin 2
92,mmu-miR-409-3p,Ostn,osteocrin
92,mmu-miR-409-3p,BC024978,cDNA sequence BC024978
92,mmu-miR-409-3p,Tmf1,TATA element modulatory factor 1
91,mmu-miR-409-3p,Iqschfp,Iqcj and Schip1 fusion protein
91,mmu-miR-409-3p,Fam120a,"family with sequence similarity 120, member A"
91,mmu-miR-409-3p,Thoc2,THO complex 2
90,mmu-miR-409-3p,Impact,"impact, RWD domain protein"
90,mmu-miR-409-3p,G2e3,G2/M-phase specific E3 ubiquitin ligase
90,mmu-miR-409-3p,Sacm1l,SAC1 suppressor of actin mutations 1-like (yeast)
89,mmu-miR-409-3p,Pls1,plastin 1 (I-isoform)
89,mmu-miR-409-3p,Zdhhc20,"zinc finger, DHHC domain containing 20"
89,mmu-miR-409-3p,Kras,Kirsten rat sarcoma viral oncogene homolog
89,mmu-miR-409-3p,Pdhx,"pyruvate dehydrogenase complex, component X"
88,mmu-miR-409-3p,Asap2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2"
88,mmu-miR-409-3p,Cd1d1,CD1d1 antigen
88,mmu-miR-409-3p,Rcor2,REST corepressor 2
87,mmu-miR-409-3p,Fam135a,"family with sequence similarity 135, member A"
87,mmu-miR-409-3p,Csf1r,colony stimulating factor 1 receptor
87,mmu-miR-409-3p,Syt13,synaptotagmin XIII
87,mmu-miR-409-3p,Ncam2,neural cell adhesion molecule 2
87,mmu-miR-409-3p,Syt1,synaptotagmin I
87,mmu-miR-409-3p,Schip1,schwannomin interacting protein 1
86,mmu-miR-409-3p,Smco3,single-pass membrane protein with coiled-coil domains 3
86,mmu-miR-409-3p,Hey2,hairy/enhancer-of-split related with YRPW motif 2
85,mmu-miR-409-3p,Slc16a7,"solute carrier family 16 (monocarboxylic acid transporters), member 7"
85,mmu-miR-409-3p,Cdh9,cadherin 9
85,mmu-miR-409-3p,Clint1,clathrin interactor 1
85,mmu-miR-409-3p,Ebag9,estrogen receptor-binding fragment-associated gene 9
85,mmu-miR-409-3p,Vmn1r148,vomeronasal 1 receptor 148
85,mmu-miR-409-3p,Htr5a,5-hydroxytryptamine (serotonin) receptor 5A
85,mmu-miR-409-3p,Mettl15,methyltransferase like 15
85,mmu-miR-409-3p,Dclk1,doublecortin-like kinase 1
84,mmu-miR-409-3p,Lrp2,low density lipoprotein receptor-related protein 2
84,mmu-miR-409-3p,Zfp397,zinc finger protein 397
83,mmu-miR-409-3p,Lrrc6,leucine rich repeat containing 6 (testis)
83,mmu-miR-409-3p,Rps6kb1,"ribosomal protein S6 kinase, polypeptide 1"
83,mmu-miR-409-3p,Rabgap1l,RAB GTPase activating protein 1-like
83,mmu-miR-409-3p,Lrrn4cl,LRRN4 C-terminal like
83,mmu-miR-409-3p,Nufip2,nuclear fragile X mental retardation protein interacting protein 2
83,mmu-miR-409-3p,Slc7a2,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2"
82,mmu-miR-409-3p,Csmd3,CUB and Sushi multiple domains 3
82,mmu-miR-409-3p,Corin,corin
82,mmu-miR-409-3p,Rnmt,RNA (guanine-7-) methyltransferase
82,mmu-miR-409-3p,Bnip3l,BCL2/adenovirus E1B interacting protein 3-like
82,mmu-miR-409-3p,Dnajb7,DnaJ heat shock protein family (Hsp40) member B7
82,mmu-miR-409-3p,Adam23,a disintegrin and metallopeptidase domain 23
81,mmu-miR-409-3p,Supt20,suppressor of Ty 20
81,mmu-miR-409-3p,Plpp3,phospholipid phosphatase 3
81,mmu-miR-409-3p,Scimp,SLP adaptor and CSK interacting membrane protein
81,mmu-miR-409-3p,Wdr77,WD repeat domain 77
81,mmu-miR-409-3p,Mrpl57,mitochondrial ribosomal protein L57
80,mmu-miR-409-3p,2310002L09Rik,RIKEN cDNA 2310002L09 gene
80,mmu-miR-409-3p,Mat1a,"methionine adenosyltransferase I, alpha"
80,mmu-miR-409-3p,Rorb,RAR-related orphan receptor beta
80,mmu-miR-409-3p,Prkce,"protein kinase C, epsilon"
80,mmu-miR-409-3p,Stam,signal transducing adaptor molecule (SH3 domain and ITAM motif) 1
80,mmu-miR-409-3p,Etnppl,ethanolamine phosphate phospholyase
80,mmu-miR-409-3p,Dll4,delta like canonical Notch ligand 4
79,mmu-miR-409-3p,Mknk1,MAP kinase-interacting serine/threonine kinase 1
79,mmu-miR-409-3p,Fgf7,fibroblast growth factor 7
79,mmu-miR-409-3p,Ube2d2a,ubiquitin-conjugating enzyme E2D 2A
79,mmu-miR-409-3p,Tmem38b,transmembrane protein 38B
79,mmu-miR-409-3p,Fhl4,four and a half LIM domains 4
78,mmu-miR-409-3p,Map3k2,mitogen-activated protein kinase kinase kinase 2
78,mmu-miR-409-3p,Abhd13,abhydrolase domain containing 13
78,mmu-miR-409-3p,Akirin1,akirin 1
78,mmu-miR-409-3p,Arpp21,"cyclic AMP-regulated phosphoprotein, 21"
78,mmu-miR-409-3p,Dennd5a,DENN/MADD domain containing 5A
78,mmu-miR-409-3p,Smad2,SMAD family member 2
78,mmu-miR-409-3p,Gsdmc4,gasdermin C4
78,mmu-miR-409-3p,Adss,"adenylosuccinate synthetase, non muscle"
78,mmu-miR-409-3p,Cradd,CASP2 and RIPK1 domain containing adaptor with death domain
78,mmu-miR-409-3p,Spin1,spindlin 1
78,mmu-miR-409-3p,Polk,"polymerase (DNA directed), kappa"
78,mmu-miR-409-3p,Gsdmc3,gasdermin C3
77,mmu-miR-409-3p,Pabpc2,"poly(A) binding protein, cytoplasmic 2"
77,mmu-miR-409-3p,Sema3a,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A"
77,mmu-miR-409-3p,Myo5b,myosin VB
77,mmu-miR-409-3p,Kmt2e,lysine (K)-specific methyltransferase 2E
77,mmu-miR-409-3p,Cxadr,coxsackie virus and adenovirus receptor
77,mmu-miR-409-3p,Cx3cl1,chemokine (C-X3-C motif) ligand 1
77,mmu-miR-409-3p,Tle1,transducin-like enhancer of split 1
77,mmu-miR-409-3p,Igsf10,"immunoglobulin superfamily, member 10"
77,mmu-miR-409-3p,Far1,fatty acyl CoA reductase 1
76,mmu-miR-409-3p,Sim1,single-minded family bHLH transcription factor 1
76,mmu-miR-409-3p,Ptpn4,"protein tyrosine phosphatase, non-receptor type 4"
76,mmu-miR-409-3p,Htra1,HtrA serine peptidase 1
76,mmu-miR-409-3p,Steap2,six transmembrane epithelial antigen of prostate 2
76,mmu-miR-409-3p,Slc1a3,"solute carrier family 1 (glial high affinity glutamate transporter), member 3"
76,mmu-miR-409-3p,Hdx,highly divergent homeobox
76,mmu-miR-409-3p,Lhx2,LIM homeobox protein 2
76,mmu-miR-409-3p,Lingo2,leucine rich repeat and Ig domain containing 2
76,mmu-miR-409-3p,Tmtc3,transmembrane and tetratricopeptide repeat containing 3
76,mmu-miR-409-3p,Ap1g1,"adaptor protein complex AP-1, gamma 1 subunit"
76,mmu-miR-409-3p,Mr1,"major histocompatibility complex, class I-related"
76,mmu-miR-409-3p,Akr1c14,"aldo-keto reductase family 1, member C14"
75,mmu-miR-409-3p,Zfp850,zinc finger protein 850
75,mmu-miR-409-3p,Pgk2,phosphoglycerate kinase 2
75,mmu-miR-409-3p,St18,suppression of tumorigenicity 18
75,mmu-miR-409-3p,Chac2,"ChaC, cation transport regulator 2"
75,mmu-miR-409-3p,Arhgap33,Rho GTPase activating protein 33
74,mmu-miR-409-3p,Rc3h1,RING CCCH (C3H) domains 1
74,mmu-miR-409-3p,Clcc1,chloride channel CLIC-like 1
74,mmu-miR-409-3p,Syne1,"spectrin repeat containing, nuclear envelope 1"
74,mmu-miR-409-3p,Trpm3,"transient receptor potential cation channel, subfamily M, member 3"
74,mmu-miR-409-3p,Creg2,cellular repressor of E1A-stimulated genes 2
74,mmu-miR-409-3p,Cadm2,cell adhesion molecule 2
74,mmu-miR-409-3p,Crispld1,cysteine-rich secretory protein LCCL domain containing 1
73,mmu-miR-409-3p,Flg2,filaggrin family member 2
73,mmu-miR-409-3p,Paxbp1,PAX3 and PAX7 binding protein 1
73,mmu-miR-409-3p,Ssxb9,"synovial sarcoma, X member B9"
73,mmu-miR-409-3p,Caps2,calcyphosphine 2
73,mmu-miR-409-3p,Megf11,multiple EGF-like-domains 11
73,mmu-miR-409-3p,Msl3,MSL complex subunit 3
73,mmu-miR-409-3p,Ccdc88a,coiled coil domain containing 88A
73,mmu-miR-409-3p,Cript,cysteine-rich PDZ-binding protein
73,mmu-miR-409-3p,Mmd,monocyte to macrophage differentiation-associated
73,mmu-miR-409-3p,Pitx2,paired-like homeodomain transcription factor 2
73,mmu-miR-409-3p,Aven,"apoptosis, caspase activation inhibitor"
72,mmu-miR-409-3p,Ube2g1,ubiquitin-conjugating enzyme E2G 1
72,mmu-miR-409-3p,Map4k4,mitogen-activated protein kinase kinase kinase kinase 4
72,mmu-miR-409-3p,Cacnb4,"calcium channel, voltage-dependent, beta 4 subunit"
72,mmu-miR-409-3p,Uqcrc2,ubiquinol cytochrome c reductase core protein 2
