TargetScore,miRNA,GeneSymbol,GeneDescription
100,mmu-miR-466i-3p,Pfkfb2,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2"
100,mmu-miR-466i-3p,Ssbp2,single-stranded DNA binding protein 2
100,mmu-miR-466i-3p,Slc16a10,"solute carrier family 16 (monocarboxylic acid transporters), member 10"
99,mmu-miR-466i-3p,Kit,KIT proto-oncogene receptor tyrosine kinase
99,mmu-miR-466i-3p,Psip1,PC4 and SFRS1 interacting protein 1
99,mmu-miR-466i-3p,Zfp811,zinc finger protein 811
99,mmu-miR-466i-3p,Ptchd4,patched domain containing 4
99,mmu-miR-466i-3p,Slf2,SMC5-SMC6 complex localization factor 2
99,mmu-miR-466i-3p,Rab6b,"RAB6B, member RAS oncogene family"
99,mmu-miR-466i-3p,Csnk1d,"casein kinase 1, delta"
99,mmu-miR-466i-3p,Lrp2bp,Lrp2 binding protein
99,mmu-miR-466i-3p,Mcf2l,mcf.2 transforming sequence-like
99,mmu-miR-466i-3p,Dlgap4,DLG associated protein 4
98,mmu-miR-466i-3p,Gli3,GLI-Kruppel family member GLI3
98,mmu-miR-466i-3p,Zfp281,zinc finger protein 281
98,mmu-miR-466i-3p,Zfp185,zinc finger protein 185
98,mmu-miR-466i-3p,Fam184a,"family with sequence similarity 184, member A"
98,mmu-miR-466i-3p,Rmnd5a,required for meiotic nuclear division 5 homolog A
98,mmu-miR-466i-3p,Bcl9,B cell CLL/lymphoma 9
98,mmu-miR-466i-3p,1700028K03Rik,RIKEN cDNA 1700028K03 gene
98,mmu-miR-466i-3p,Rnf216,ring finger protein 216
97,mmu-miR-466i-3p,Arhgap11a,Rho GTPase activating protein 11A
97,mmu-miR-466i-3p,Cdk12,cyclin-dependent kinase 12
97,mmu-miR-466i-3p,Timm29,translocase of inner mitochondrial membrane 29
97,mmu-miR-466i-3p,Cdc73,"cell division cycle 73, Paf1/RNA polymerase II complex component"
97,mmu-miR-466i-3p,Ss18l1,"SS18, nBAF chromatin remodeling complex subunit like 1"
97,mmu-miR-466i-3p,Fam160b1,"family with sequence similarity 160, member B1"
97,mmu-miR-466i-3p,Krit1,"KRIT1, ankyrin repeat containing"
97,mmu-miR-466i-3p,Ankrd44,ankyrin repeat domain 44
97,mmu-miR-466i-3p,Adcy9,adenylate cyclase 9
97,mmu-miR-466i-3p,Plag1,pleiomorphic adenoma gene 1
97,mmu-miR-466i-3p,Hhip,Hedgehog-interacting protein
96,mmu-miR-466i-3p,Unc5c,unc-5 netrin receptor C
96,mmu-miR-466i-3p,Rabgap1,RAB GTPase activating protein 1
96,mmu-miR-466i-3p,Htr2b,5-hydroxytryptamine (serotonin) receptor 2B
96,mmu-miR-466i-3p,Soat1,sterol O-acyltransferase 1
96,mmu-miR-466i-3p,Col25a1,"collagen, type XXV, alpha 1"
96,mmu-miR-466i-3p,Mgam,maltase-glucoamylase
96,mmu-miR-466i-3p,Slc5a3,"solute carrier family 5 (inositol transporters), member 3"
96,mmu-miR-466i-3p,Dgkq,"diacylglycerol kinase, theta"
96,mmu-miR-466i-3p,Ubr5,ubiquitin protein ligase E3 component n-recognin 5
95,mmu-miR-466i-3p,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)"
95,mmu-miR-466i-3p,Oas3,2'-5' oligoadenylate synthetase 3
95,mmu-miR-466i-3p,Ppm1d,"protein phosphatase 1D magnesium-dependent, delta isoform"
95,mmu-miR-466i-3p,Abi1,abl-interactor 1
95,mmu-miR-466i-3p,Cxcl5,chemokine (C-X-C motif) ligand 5
95,mmu-miR-466i-3p,Cep350,centrosomal protein 350
95,mmu-miR-466i-3p,Tnrc6b,trinucleotide repeat containing 6b
95,mmu-miR-466i-3p,Hs6st2,heparan sulfate 6-O-sulfotransferase 2
95,mmu-miR-466i-3p,Irs4,insulin receptor substrate 4
95,mmu-miR-466i-3p,Fbxl17,F-box and leucine-rich repeat protein 17
95,mmu-miR-466i-3p,Ptpmt1,"protein tyrosine phosphatase, mitochondrial 1"
95,mmu-miR-466i-3p,Lsm8,"LSM8 homolog, U6 small nuclear RNA associated"
