TargetScore,miRNA,GeneSymbol,GeneDescription
100,mmu-miR-486a-3p,Tulp3,tubby-like protein 3
99,mmu-miR-486a-3p,Dtx3,"deltex 3, E3 ubiquitin ligase"
98,mmu-miR-486a-3p,Ccdc97,coiled-coil domain containing 97
97,mmu-miR-486a-3p,Ttyh3,tweety family member 3
97,mmu-miR-486a-3p,Shisal1,shisa like 1
97,mmu-miR-486a-3p,Hmga1,high mobility group AT-hook 1
96,mmu-miR-486a-3p,Glis2,GLIS family zinc finger 2
96,mmu-miR-486a-3p,Map3k11,mitogen-activated protein kinase kinase kinase 11
96,mmu-miR-486a-3p,Tsc1,tuberous sclerosis 1
96,mmu-miR-486a-3p,Sgcd,"sarcoglycan, delta (dystrophin-associated glycoprotein)"
95,mmu-miR-486a-3p,Krt73,keratin 73
95,mmu-miR-486a-3p,Abcg4,ATP binding cassette subfamily G member 4
95,mmu-miR-486a-3p,Tmem132e,transmembrane protein 132E
95,mmu-miR-486a-3p,Traf3,TNF receptor-associated factor 3
94,mmu-miR-486a-3p,Rph3a,rabphilin 3A
94,mmu-miR-486a-3p,Cdc42ep1,CDC42 effector protein (Rho GTPase binding) 1
94,mmu-miR-486a-3p,4930402H24Rik,RIKEN cDNA 4930402H24 gene
94,mmu-miR-486a-3p,Rnf44,ring finger protein 44
94,mmu-miR-486a-3p,Spock2,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2"
93,mmu-miR-486a-3p,Mapre1,"microtubule-associated protein, RP/EB family, member 1"
93,mmu-miR-486a-3p,Fbxo41,F-box protein 41
93,mmu-miR-486a-3p,Psenen,presenilin enhancer gamma secretase subunit
93,mmu-miR-486a-3p,Fndc5,fibronectin type III domain containing 5
92,mmu-miR-486a-3p,Tada2b,transcriptional adaptor 2B
92,mmu-miR-486a-3p,Tanc2,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2"
92,mmu-miR-486a-3p,Mark2,MAP/microtubule affinity regulating kinase 2
92,mmu-miR-486a-3p,Phb,prohibitin
92,mmu-miR-486a-3p,Plcb1,"phospholipase C, beta 1"
92,mmu-miR-486a-3p,Zmynd10,"zinc finger, MYND domain containing 10"
92,mmu-miR-486a-3p,Ifitm1,interferon induced transmembrane protein 1
92,mmu-miR-486a-3p,Ssu2,ssu-2 homolog (C. elegans)
91,mmu-miR-486a-3p,Scn3a,"sodium channel, voltage-gated, type III, alpha"
