Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Ms4a4a	ENSMUST00000188995.1	"membrane-spanning 4-domains, subfamily A, member 4A "	mmu-miR-466i-3p	-6.12
Stx1b	ENSMUST00000106267.3	"syntaxin 1B "	mmu-miR-466i-3p	-3.53
Pfkfb2	ENSMUST00000066863.7	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 "	mmu-miR-466i-3p	-3.23
Lhfpl4	ENSMUST00000162280.1	"lipoma HMGIC fusion partner-like protein 4 "	mmu-miR-466i-3p	-3.08
Bpifc	ENSMUST00000061699.6	"BPI fold containing family C "	mmu-miR-466i-3p	-2.81
Rnf152	ENSMUST00000058688.6	"ring finger protein 152 "	mmu-miR-466i-3p	-2.74
Zfp871	ENSMUST00000159086.3	"zinc finger protein 871 "	mmu-miR-466i-3p	-2.70
Oas3	ENSMUST00000044833.8	"2'-5' oligoadenylate synthetase 3 "	mmu-miR-466i-3p	-2.37
Fam160b2	ENSMUST00000022690.9	"family with sequence similarity 160, member B2 "	mmu-miR-466i-3p	-1.98
Sbk2	ENSMUST00000182214.2	"SH3-binding domain kinase family, member 2 "	mmu-miR-466i-3p	-1.83
Ss18l1	ENSMUST00000041126.8	"synovial sarcoma translocation gene on chromosome 18-like 1 "	mmu-miR-466i-3p	-1.82
Prrg3	ENSMUST00000048790.6	"proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane) "	mmu-miR-466i-3p	-1.77
L3mbtl1	ENSMUST00000035751.6	"l(3)mbt-like (Drosophila) "	mmu-miR-466i-3p	-1.56
Syne3	ENSMUST00000067005.4	"spectrin repeat containing, nuclear envelope family member 3 "	mmu-miR-466i-3p	-1.50
Tnrc6b	ENSMUST00000067689.7	"trinucleotide repeat containing 6b "	mmu-miR-466i-3p	-1.49
Tmem178b	ENSMUST00000061740.7	"transmembrane protein 178B "	mmu-miR-466i-3p	-1.48
Lsm8	ENSMUST00000056398.8	"LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae) "	mmu-miR-466i-3p	-1.39
St6galnac5	ENSMUST00000044278.5	"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 "	mmu-miR-466i-3p	-1.39
Sept3	ENSMUST00000023095.7	"septin 3 "	mmu-miR-466i-3p	-1.35
