Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Slc39a1	ENSMUST00000015467.8	"solute carrier family 39 (zinc transporter), member 1 "	mmu-miR-96-5p	-0.95
Msn	ENSMUST00000117399.1	"moesin "	mmu-miR-96-5p	-0.87
Chst10	ENSMUST00000027249.6	"carbohydrate sulfotransferase 10 "	mmu-miR-96-5p	-0.80
Rev1	ENSMUST00000027251.6	"REV1 homolog (S. cerevisiae) "	mmu-miR-96-5p	-0.79
B4galnt1	ENSMUST00000006914.9	"beta-1,4-N-acetyl-galactosaminyl transferase 1 "	mmu-miR-96-5p	-0.72
D3Bwg0562e	ENSMUST00000061071.8	"DNA segment, Chr 3, Brigham & Women's Genetics 0562 expressed "	mmu-miR-96-5p	-0.71
Stmnd1	ENSMUST00000076622.3	"stathmin domain containing 1 "	mmu-miR-96-5p	-0.70
Vamp3	ENSMUST00000030797.3	"vesicle-associated membrane protein 3 "	mmu-miR-96-5p	-0.69
Frs2	ENSMUST00000020381.3	"fibroblast growth factor receptor substrate 2 "	mmu-miR-96-5p	-0.69
Tmem198	ENSMUST00000050899.6	"transmembrane protein 198 "	mmu-miR-96-5p	-0.68
Camta1	ENSMUST00000097774.3	"calmodulin binding transcription activator 1 "	mmu-miR-96-5p	-0.67
Gm16039	ENSMUST00000162034.2	"predicted gene 16039 "	mmu-miR-96-5p	-0.66
Phf10	ENSMUST00000024657.6	"PHD finger protein 10 "	mmu-miR-96-5p	-0.65
Gng12	ENSMUST00000043148.7	"guanine nucleotide binding protein (G protein), gamma 12 "	mmu-miR-96-5p	-0.65
Tbr1	ENSMUST00000048934.9	"T-box brain gene 1 "	mmu-miR-96-5p	-0.65
Chst1	ENSMUST00000065797.6	"carbohydrate (keratan sulfate Gal-6) sulfotransferase 1 "	mmu-miR-96-5p	-0.64
Klhl8	ENSMUST00000112811.2	"kelch-like 8 "	mmu-miR-96-5p	-0.63
Slc25a1	ENSMUST00000003622.9	"solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1 "	mmu-miR-96-5p	-0.63
Camk2n1	ENSMUST00000050918.3	"calcium/calmodulin-dependent protein kinase II inhibitor 1 "	mmu-miR-96-5p	-0.62
Tmem170b	ENSMUST00000129449.1	"transmembrane protein 170B "	mmu-miR-96-5p	-0.62
Ntn4	ENSMUST00000020204.4	"netrin 4 "	mmu-miR-96-5p	-0.62
Tmem145	ENSMUST00000108409.1	"transmembrane protein 145 "	mmu-miR-96-5p	-0.62
Gpc3	ENSMUST00000069360.8	"glypican 3 "	mmu-miR-96-5p	-0.61
Slc1a1	ENSMUST00000025875.4	"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1 "	mmu-miR-96-5p	-0.61
Fam49b	ENSMUST00000063838.5	"family with sequence similarity 49, member B "	mmu-miR-96-5p	-0.60
2410016O06Rik	ENSMUST00000053744.7	"RIKEN cDNA 2410016O06 gene "	mmu-miR-96-5p	-0.60
Zfp36l1	ENSMUST00000021552.1	"zinc finger protein 36, C3H type-like 1 "	mmu-miR-96-5p	-0.60
Phf20l1	ENSMUST00000048188.8	"PHD finger protein 20-like 1 "	mmu-miR-96-5p	-0.60
Rgs2	ENSMUST00000127206.2	"regulator of G-protein signaling 2 "	mmu-miR-96-5p	-0.59
Brpf3	ENSMUST00000004985.9	"bromodomain and PHD finger containing, 3 "	mmu-miR-96-5p	-0.59
Cpeb1	ENSMUST00000098331.4	"cytoplasmic polyadenylation element binding protein 1 "	mmu-miR-96-5p	-0.58
2610528J11Rik	ENSMUST00000030261.5	"RIKEN cDNA 2610528J11 gene "	mmu-miR-96-5p	-0.58
Cacnb1	ENSMUST00000017552.7	"calcium channel, voltage-dependent, beta 1 subunit "	mmu-miR-96-5p	-0.58
Gad2	ENSMUST00000028123.3	"glutamic acid decarboxylase 2 "	mmu-miR-96-5p	-0.58
Adcy6	ENSMUST00000096224.4	"adenylate cyclase 6 "	mmu-miR-96-5p	-0.58
3110021A11Rik	ENSMUST00000062454.1	"RIKEN cDNA 3110021A11 gene "	mmu-miR-96-5p	-0.58
Hook3	ENSMUST00000037182.8	"hook homolog 3 (Drosophila) "	mmu-miR-96-5p	-0.58
Sh3kbp1	ENSMUST00000112456.3	"SH3-domain kinase binding protein 1 "	mmu-miR-96-5p	-0.57
St8sia3	ENSMUST00000025477.8	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3 "	mmu-miR-96-5p	-0.57
Foxq1	ENSMUST00000042118.9	"forkhead box Q1 "	mmu-miR-96-5p	-0.57
Mfsd5	ENSMUST00000051341.4	"major facilitator superfamily domain containing 5 "	mmu-miR-96-5p	-0.56
Cacnb4	ENSMUST00000178799.2	"calcium channel, voltage-dependent, beta 4 subunit "	mmu-miR-96-5p	-0.56
Klhl7	ENSMUST00000163409.2	"kelch-like 7 "	mmu-miR-96-5p	-0.56
Zbtb37	ENSMUST00000171748.2	"zinc finger and BTB domain containing 37 "	mmu-miR-96-5p	-0.56
Cd164	ENSMUST00000019962.9	"CD164 antigen "	mmu-miR-96-5p	-0.56
Rapgef4	ENSMUST00000090826.6	"Rap guanine nucleotide exchange factor (GEF) 4 "	mmu-miR-96-5p	-0.55
Ppm1f	ENSMUST00000027373.9	"protein phosphatase 1F (PP2C domain containing) "	mmu-miR-96-5p	-0.54
Tspan4	ENSMUST00000026585.8	"tetraspanin 4 "	mmu-miR-96-5p	-0.54
Rnf183	ENSMUST00000107455.2	"ring finger protein 183 "	mmu-miR-96-5p	-0.54
Map2k1	ENSMUST00000005066.8	"mitogen-activated protein kinase kinase 1 "	mmu-miR-96-5p	-0.53
Slc10a3	ENSMUST00000114147.1	"solute carrier family 10 (sodium/bile acid cotransporter family), member 3 "	mmu-miR-96-5p	-0.53
