Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Gm12355	ENSMUST00000104933.1	"predicted gene 12355 "	mmu-miR-486a-5p	-1.32
Srsf3	ENSMUST00000130216.1	"serine/arginine-rich splicing factor 3 "	mmu-miR-486a-5p	-1.27
Abhd17b	ENSMUST00000052556.3	"abhydrolase domain containing 17B "	mmu-miR-486a-5p	-0.58
Snrpd1	ENSMUST00000002551.3	"small nuclear ribonucleoprotein D1 "	mmu-miR-486a-5p	-0.56
Tob1	ENSMUST00000041589.5	"transducer of ErbB-2.1 "	mmu-miR-486a-5p	-0.50
Agbl5	ENSMUST00000061213.7	"ATP/GTP binding protein-like 5 "	mmu-miR-486a-5p	-0.49
Glis1	ENSMUST00000046005.3	"GLIS family zinc finger 1 "	mmu-miR-486a-5p	-0.47
Piga	ENSMUST00000112255.2	"phosphatidylinositol glycan anchor biosynthesis, class A "	mmu-miR-486a-5p	-0.46
Bivm	ENSMUST00000114709.2	"basic, immunoglobulin-like variable motif containing "	mmu-miR-486a-5p	-0.45
Ccdc117	ENSMUST00000020776.4	"coiled-coil domain containing 117 "	mmu-miR-486a-5p	-0.43
Map3k7	ENSMUST00000108183.2	"mitogen-activated protein kinase kinase kinase 7 "	mmu-miR-486a-5p	-0.43
Skiv2l2	ENSMUST00000022281.3	"superkiller viralicidic activity 2-like 2 (S. cerevisiae) "	mmu-miR-486a-5p	-0.42
Timm23	ENSMUST00000170331.2	"translocase of inner mitochondrial membrane 23 "	mmu-miR-486a-5p	-0.39
Gpr153	ENSMUST00000105650.2	"G protein-coupled receptor 153 "	mmu-miR-486a-5p	-0.38
4930533K18Rik	ENSMUST00000058942.5	"RIKEN cDNA 4930533K18 gene "	mmu-miR-486a-5p	-0.37
Arl1	ENSMUST00000116234.3	"ADP-ribosylation factor-like 1 "	mmu-miR-486a-5p	-0.36
Cdh7	ENSMUST00000112701.2	"cadherin 7, type 2 "	mmu-miR-486a-5p	-0.36
Gab2	ENSMUST00000004622.5	"growth factor receptor bound protein 2-associated protein 2 "	mmu-miR-486a-5p	-0.36
Gabra1	ENSMUST00000020707.6	"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1 "	mmu-miR-486a-5p	-0.35
Cops7b	ENSMUST00000121534.2	"COP9 (constitutive photomorphogenic) homolog, subunit 7b (Arabidopsis thaliana) "	mmu-miR-486a-5p	-0.35
Wipf3	ENSMUST00000163746.2	"WAS/WASL interacting protein family, member 3 "	mmu-miR-486a-5p	-0.34
Gucy1a2	ENSMUST00000115733.1	"guanylate cyclase 1, soluble, alpha 2 "	mmu-miR-486a-5p	-0.34
Sp5	ENSMUST00000100043.2	"trans-acting transcription factor 5 "	mmu-miR-486a-5p	-0.34
Ankrd13a	ENSMUST00000102578.5	"ankyrin repeat domain 13a "	mmu-miR-486a-5p	-0.34
