TargetScore,miRNA,GeneSymbol,GeneDescription
100,mmu-let-7c-1-3p,Mier3,MIER family member 3
100,mmu-let-7c-1-3p,Cdh11,cadherin 11
100,mmu-let-7c-1-3p,Kras,Kirsten rat sarcoma viral oncogene homolog
100,mmu-let-7c-1-3p,Stag1,stromal antigen 1
100,mmu-let-7c-1-3p,Mbd5,methyl-CpG binding domain protein 5
100,mmu-let-7c-1-3p,Otud1,OTU domain containing 1
99,mmu-let-7c-1-3p,Grin3a,"glutamate receptor ionotropic, NMDA3A"
99,mmu-let-7c-1-3p,Phip,pleckstrin homology domain interacting protein
99,mmu-let-7c-1-3p,9930021J03Rik,RIKEN cDNA 9930021J03 gene
99,mmu-let-7c-1-3p,Dscaml1,DS cell adhesion molecule like 1
99,mmu-let-7c-1-3p,Tcerg1l,transcription elongation regulator 1-like
99,mmu-let-7c-1-3p,Sorbs2,sorbin and SH3 domain containing 2
99,mmu-let-7c-1-3p,Foxo1,forkhead box O1
99,mmu-let-7c-1-3p,Dach1,dachshund family transcription factor 1
99,mmu-let-7c-1-3p,Pum1,pumilio RNA-binding family member 1
99,mmu-let-7c-1-3p,Plppr1,phospholipid phosphatase related 1
99,mmu-let-7c-1-3p,Dnm1l,dynamin 1-like
99,mmu-let-7c-1-3p,Arid4b,AT rich interactive domain 4B (RBP1-like)
99,mmu-let-7c-1-3p,Usmg5,upregulated during skeletal muscle growth 5
99,mmu-let-7c-1-3p,Sox2,SRY (sex determining region Y)-box 2
99,mmu-let-7c-1-3p,Csmd1,CUB and Sushi multiple domains 1
99,mmu-let-7c-1-3p,Nampt,nicotinamide phosphoribosyltransferase
98,mmu-let-7c-1-3p,Rapgef2,Rap guanine nucleotide exchange factor (GEF) 2
98,mmu-let-7c-1-3p,Cited2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2"
98,mmu-let-7c-1-3p,Evi5,ecotropic viral integration site 5
98,mmu-let-7c-1-3p,Sec11a,"SEC11 homolog A, signal peptidase complex subunit"
98,mmu-let-7c-1-3p,Clk4,CDC like kinase 4
98,mmu-let-7c-1-3p,Shisa3,shisa family member 3
98,mmu-let-7c-1-3p,Myt1l,myelin transcription factor 1-like
98,mmu-let-7c-1-3p,Sufu,SUFU negative regulator of hedgehog signaling
98,mmu-let-7c-1-3p,Herc1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
98,mmu-let-7c-1-3p,Zbtb33,zinc finger and BTB domain containing 33
98,mmu-let-7c-1-3p,Mtrex,Mtr4 exosome RNA helicase
98,mmu-let-7c-1-3p,Tab3,TGF-beta activated kinase 1/MAP3K7 binding protein 3
98,mmu-let-7c-1-3p,Taok1,TAO kinase 1
98,mmu-let-7c-1-3p,Faxc,failed axon connections homolog
98,mmu-let-7c-1-3p,Dock4,dedicator of cytokinesis 4
98,mmu-let-7c-1-3p,Gclc,"glutamate-cysteine ligase, catalytic subunit"
98,mmu-let-7c-1-3p,Rimbp2,RIMS binding protein 2
98,mmu-let-7c-1-3p,Stat5a,signal transducer and activator of transcription 5A
98,mmu-let-7c-1-3p,Susd6,sushi domain containing 6
98,mmu-let-7c-1-3p,Memo1,mediator of cell motility 1
98,mmu-let-7c-1-3p,Bmi1,Bmi1 polycomb ring finger oncogene
97,mmu-let-7c-1-3p,Map4k3,mitogen-activated protein kinase kinase kinase kinase 3
97,mmu-let-7c-1-3p,Rab10,"RAB10, member RAS oncogene family"
97,mmu-let-7c-1-3p,Axin1,axin 1
97,mmu-let-7c-1-3p,Ctdspl2,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2"
97,mmu-let-7c-1-3p,Jmjd1c,jumonji domain containing 1C
97,mmu-let-7c-1-3p,Adam10,a disintegrin and metallopeptidase domain 10
97,mmu-let-7c-1-3p,Pdia3,protein disulfide isomerase associated 3
97,mmu-let-7c-1-3p,Sf3b3,"splicing factor 3b, subunit 3"
97,mmu-let-7c-1-3p,Zdhhc20,"zinc finger, DHHC domain containing 20"
97,mmu-let-7c-1-3p,Ebf2,early B cell factor 2
97,mmu-let-7c-1-3p,Adamtsl1,ADAMTS-like 1
97,mmu-let-7c-1-3p,Eomes,eomesodermin
97,mmu-let-7c-1-3p,Orc4,"origin recognition complex, subunit 4"
97,mmu-let-7c-1-3p,Nudt21,nudix (nucleoside diphosphate linked moiety X)-type motif 21
97,mmu-let-7c-1-3p,Snrpb2,U2 small nuclear ribonucleoprotein B
97,mmu-let-7c-1-3p,Setbp1,SET binding protein 1
97,mmu-let-7c-1-3p,Rims2,regulating synaptic membrane exocytosis 2
97,mmu-let-7c-1-3p,Rarb,"retinoic acid receptor, beta"
97,mmu-let-7c-1-3p,Grhl2,grainyhead like transcription factor 2
97,mmu-let-7c-1-3p,Tlk1,tousled-like kinase 1
97,mmu-let-7c-1-3p,Ppp2r5c,"protein phosphatase 2, regulatory subunit B', gamma"
97,mmu-let-7c-1-3p,Wnt5b,"wingless-type MMTV integration site family, member 5B"
97,mmu-let-7c-1-3p,Sinhcaf,SIN3-HDAC complex associated factor
97,mmu-let-7c-1-3p,Gpm6a,glycoprotein m6a
96,mmu-let-7c-1-3p,Ccna2,cyclin A2
96,mmu-let-7c-1-3p,Rab40c,"Rab40C, member RAS oncogene family"
96,mmu-let-7c-1-3p,Nfkbia,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha"
96,mmu-let-7c-1-3p,Dnaja2,DnaJ heat shock protein family (Hsp40) member A2
96,mmu-let-7c-1-3p,Sumo2,small ubiquitin-like modifier 2
96,mmu-let-7c-1-3p,Setd1a,SET domain containing 1A
96,mmu-let-7c-1-3p,Hnrnpu,heterogeneous nuclear ribonucleoprotein U
96,mmu-let-7c-1-3p,Scaf8,SR-related CTD-associated factor 8
96,mmu-let-7c-1-3p,Phf2,PHD finger protein 2
96,mmu-let-7c-1-3p,Pias3,protein inhibitor of activated STAT 3
96,mmu-let-7c-1-3p,Kpna4,karyopherin (importin) alpha 4
96,mmu-let-7c-1-3p,Tmprss11g,"transmembrane protease, serine 11g"
96,mmu-let-7c-1-3p,Rab40b,"Rab40B, member RAS oncogene family"
96,mmu-let-7c-1-3p,Ppp3r1,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)"
96,mmu-let-7c-1-3p,Hspd1,heat shock protein 1 (chaperonin)
96,mmu-let-7c-1-3p,Trio,triple functional domain (PTPRF interacting)
96,mmu-let-7c-1-3p,Cdc42se2,CDC42 small effector 2
96,mmu-let-7c-1-3p,Rdx,radixin
95,mmu-let-7c-1-3p,Syt4,synaptotagmin IV
95,mmu-let-7c-1-3p,Nsd3,nuclear receptor binding SET domain protein 3
95,mmu-let-7c-1-3p,Kmt2c,lysine (K)-specific methyltransferase 2C
95,mmu-let-7c-1-3p,Gdnf,glial cell line derived neurotrophic factor
95,mmu-let-7c-1-3p,Kcnc2,"potassium voltage gated channel, Shaw-related subfamily, member 2"
95,mmu-let-7c-1-3p,Slitrk6,"SLIT and NTRK-like family, member 6"
95,mmu-let-7c-1-3p,Gna13,"guanine nucleotide binding protein, alpha 13"
95,mmu-let-7c-1-3p,Nipbl,NIPBL cohesin loading factor
95,mmu-let-7c-1-3p,Kat6a,K(lysine) acetyltransferase 6A
95,mmu-let-7c-1-3p,Skil,SKI-like
95,mmu-let-7c-1-3p,Arhgap44,Rho GTPase activating protein 44
95,mmu-let-7c-1-3p,Socs4,suppressor of cytokine signaling 4
95,mmu-let-7c-1-3p,Trim2,tripartite motif-containing 2
95,mmu-let-7c-1-3p,Gphn,gephyrin
95,mmu-let-7c-1-3p,Eif4b,eukaryotic translation initiation factor 4B
95,mmu-let-7c-1-3p,Otud4,OTU domain containing 4
95,mmu-let-7c-1-3p,M6pr,"mannose-6-phosphate receptor, cation dependent"
95,mmu-let-7c-1-3p,Bcl7a,B cell CLL/lymphoma 7A
95,mmu-let-7c-1-3p,Sox9,SRY (sex determining region Y)-box 9
95,mmu-let-7c-1-3p,Nedd4l,"neural precursor cell expressed, developmentally down-regulated gene 4-like"
95,mmu-let-7c-1-3p,Krit1,"KRIT1, ankyrin repeat containing"
95,mmu-let-7c-1-3p,Runx2,runt related transcription factor 2
95,mmu-let-7c-1-3p,Kif26a,kinesin family member 26A
95,mmu-let-7c-1-3p,Krt2,keratin 2
94,mmu-let-7c-1-3p,Ttc26,tetratricopeptide repeat domain 26
94,mmu-let-7c-1-3p,Atp13a3,ATPase type 13A3
94,mmu-let-7c-1-3p,Six1,sine oculis-related homeobox 1
94,mmu-let-7c-1-3p,Ppargc1a,"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha"
94,mmu-let-7c-1-3p,Nr4a3,"nuclear receptor subfamily 4, group A, member 3"
94,mmu-let-7c-1-3p,Fbxl16,F-box and leucine-rich repeat protein 16
94,mmu-let-7c-1-3p,Lrrtm3,leucine rich repeat transmembrane neuronal 3
94,mmu-let-7c-1-3p,Zfp638,zinc finger protein 638
94,mmu-let-7c-1-3p,Nktr,natural killer tumor recognition sequence
94,mmu-let-7c-1-3p,Trp63,transformation related protein 63
94,mmu-let-7c-1-3p,Nap1l4,nucleosome assembly protein 1-like 4
94,mmu-let-7c-1-3p,Klhl14,kelch-like 14
94,mmu-let-7c-1-3p,Ep300,E1A binding protein p300
94,mmu-let-7c-1-3p,Spry2,sprouty RTK signaling antagonist 2
94,mmu-let-7c-1-3p,Jarid2,"jumonji, AT rich interactive domain 2"
94,mmu-let-7c-1-3p,Tacc1,"transforming, acidic coiled-coil containing protein 1"
93,mmu-let-7c-1-3p,Kdm2b,lysine (K)-specific demethylase 2B
93,mmu-let-7c-1-3p,Cdkn1c,cyclin-dependent kinase inhibitor 1C (P57)
93,mmu-let-7c-1-3p,Akirin1,akirin 1
93,mmu-let-7c-1-3p,Rbbp6,"retinoblastoma binding protein 6, ubiquitin ligase"
93,mmu-let-7c-1-3p,Dyrk4,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4
93,mmu-let-7c-1-3p,Fgf18,fibroblast growth factor 18
93,mmu-let-7c-1-3p,Tcf7l2,"transcription factor 7 like 2, T cell specific, HMG box"
93,mmu-let-7c-1-3p,B4galt6,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6"
93,mmu-let-7c-1-3p,Hmgcr,3-hydroxy-3-methylglutaryl-Coenzyme A reductase
93,mmu-let-7c-1-3p,Gli2,GLI-Kruppel family member GLI2
93,mmu-let-7c-1-3p,Ppp1r8,"protein phosphatase 1, regulatory subunit 8"
93,mmu-let-7c-1-3p,E2f8,E2F transcription factor 8
93,mmu-let-7c-1-3p,Cavin4,caveolae associated 4
93,mmu-let-7c-1-3p,Npat,nuclear protein in the AT region
93,mmu-let-7c-1-3p,Elmod2,ELMO/CED-12 domain containing 2
93,mmu-let-7c-1-3p,Trrap,transformation/transcription domain-associated protein
93,mmu-let-7c-1-3p,Adcy6,adenylate cyclase 6
93,mmu-let-7c-1-3p,Elfn1,"leucine rich repeat and fibronectin type III, extracellular 1"
93,mmu-let-7c-1-3p,Zfhx3,zinc finger homeobox 3
93,mmu-let-7c-1-3p,Elovl5,"ELOVL family member 5, elongation of long chain fatty acids (yeast)"
92,mmu-let-7c-1-3p,Klhl8,kelch-like 8
92,mmu-let-7c-1-3p,Csmd2,CUB and Sushi multiple domains 2
92,mmu-let-7c-1-3p,Cdk13,cyclin-dependent kinase 13
92,mmu-let-7c-1-3p,Scamp5,secretory carrier membrane protein 5
92,mmu-let-7c-1-3p,Zfr,zinc finger RNA binding protein
92,mmu-let-7c-1-3p,Jade2,jade family PHD finger 2
92,mmu-let-7c-1-3p,Mrtfb,myocardin related transcription factor B
92,mmu-let-7c-1-3p,Mnt,max binding protein
92,mmu-let-7c-1-3p,Klhl5,kelch-like 5
92,mmu-let-7c-1-3p,En2,engrailed 2
92,mmu-let-7c-1-3p,Ankrd12,ankyrin repeat domain 12
92,mmu-let-7c-1-3p,Hmgn1,high mobility group nucleosomal binding domain 1
92,mmu-let-7c-1-3p,Top2b,topoisomerase (DNA) II beta
92,mmu-let-7c-1-3p,Zfp148,zinc finger protein 148
92,mmu-let-7c-1-3p,Eif4enif1,eukaryotic translation initiation factor 4E nuclear import factor 1
92,mmu-let-7c-1-3p,Zfand5,"zinc finger, AN1-type domain 5"
92,mmu-let-7c-1-3p,Sema3e,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E"
92,mmu-let-7c-1-3p,Scyl1,SCY1-like 1 (S. cerevisiae)
92,mmu-let-7c-1-3p,Pot1a,protection of telomeres 1A
92,mmu-let-7c-1-3p,Phtf2,putative homeodomain transcription factor 2
92,mmu-let-7c-1-3p,Fzd1,frizzled class receptor 1
92,mmu-let-7c-1-3p,Mbnl1,muscleblind like splicing factor 1
91,mmu-let-7c-1-3p,Foxf1,forkhead box F1
91,mmu-let-7c-1-3p,Selenop,selenoprotein P
91,mmu-let-7c-1-3p,Rictor,"RPTOR independent companion of MTOR, complex 2"
91,mmu-let-7c-1-3p,Ankrd26,ankyrin repeat domain 26
91,mmu-let-7c-1-3p,Zfp229,zinc finger protein 229
91,mmu-let-7c-1-3p,Samd8,sterile alpha motif domain containing 8
91,mmu-let-7c-1-3p,Hecw2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
91,mmu-let-7c-1-3p,Mef2c,myocyte enhancer factor 2C
91,mmu-let-7c-1-3p,Coq2,coenzyme Q2 4-hydroxybenzoate polyprenyltransferase
91,mmu-let-7c-1-3p,Rbbp5,"retinoblastoma binding protein 5, histone lysine methyltransferase complex subunit"
91,mmu-let-7c-1-3p,Nme7,NME/NM23 family member 7
91,mmu-let-7c-1-3p,Lzts2,"leucine zipper, putative tumor suppressor 2"
91,mmu-let-7c-1-3p,Sp1,trans-acting transcription factor 1
91,mmu-let-7c-1-3p,G3bp1,GTPase activating protein (SH3 domain) binding protein 1
91,mmu-let-7c-1-3p,Lig3,"ligase III, DNA, ATP-dependent"
91,mmu-let-7c-1-3p,Ascl1,achaete-scute family bHLH transcription factor 1
90,mmu-let-7c-1-3p,Cd9,CD9 antigen
90,mmu-let-7c-1-3p,E2f4,E2F transcription factor 4
