jtb_ts,jtb_db,symbol_ts,target_gene_ts,representative_transcript_ts,gene_name_ts,representative_mi_rna_ts,cumulative_weighted_context_score_ts,ensembl_ts,fold_change_ts,padj_ts,target_score_db,mirna_db,gene_symbol_db,gene_description_db,ensembl_db,symbol_db,fold_change_db,padj_db
wt_d1338,,Ldlrad3,Ldlrad3,ENSMUST00000058790.6,low density lipoprotein receptor class A domain containing 3 ,mmu-miR-466i-3p,-0.49,ENSMUSG00000048058.17,3.7130578,7.18995e-27,,,,,,,,
wt_d1338,,Ms4a4a,Ms4a4a,ENSMUST00000188995.1,"membrane-spanning 4-domains, subfamily A, member 4A ",mmu-miR-466i-3p,-6.12,ENSMUSG00000101389.1,3.0455904,2.7283e-184,,,,,,,,
wt_d1338,,Mcemp1,Mcemp1,ENSMUST00000014118.2,mast cell expressed membrane protein 1 ,mmu-miR-466i-3p,-0.47,ENSMUSG00000013974.3,2.885946,7.02316e-78,,,,,,,,
wt_d1338,,Gspt2,Gspt2,ENSMUST00000096368.3,G1 to S phase transition 2 ,mmu-miR-466i-3p,-0.47,ENSMUSG00000071723.7,2.6707828,5.68616e-06,,,,,,,,
wt_d1338,,Rasgrp3,Rasgrp3,ENSMUST00000164192.2,"RAS, guanyl releasing protein 3 ",mmu-miR-466i-3p,-0.49,ENSMUSG00000071042.12,2.5252972,1.39401e-14,,,,,,,,
wt_d1338,,Ocln,Ocln,ENSMUST00000069756.5,occludin ,mmu-miR-466i-3p,-1,ENSMUSG00000021638.12,1.9473011,1.47979e-05,,,,,,,,
wt_d1338,,Serpinb8,Serpinb8,ENSMUST00000112706.3,"serine (or cysteine) peptidase inhibitor, clade B, member 8 ",mmu-miR-466i-3p,-0.65,ENSMUSG00000026315.13,1.722588,2.0695e-58,,,,,,,,
wt_d1338,wt_d1338,Sox5,Sox5,ENSMUST00000111748.2,SRY (sex determining region Y)-box 5 ,mmu-miR-466i-3p,-0.68,ENSMUSG00000041540.16,1.6654336,0.002384457,86,mmu-miR-466i-3p,Sox5,SRY (sex determining region Y)-box 5,ENSMUSG00000041540.16,Sox5,1.6654336,0.002384457
wt_d1338,,Hectd2,Hectd2,ENSMUST00000047247.6,HECT domain containing 2 ,mmu-miR-466i-3p,-0.46,ENSMUSG00000041180.13,1.6424818,3.69441e-08,,,,,,,,
wt_d1338,,Eif5a2,Eif5a2,ENSMUST00000060500.7,eukaryotic translation initiation factor 5A2 ,mmu-miR-466i-3p,-0.55,ENSMUSG00000050192.8,1.535981,1.10833e-10,,,,,,,,
wt_d1338,,Zc3h12d,Zc3h12d,ENSMUST00000039484.4,zinc finger CCCH type containing 12D ,mmu-miR-466i-3p,-0.64,ENSMUSG00000039981.6,-1.5357186,2.1662e-09,,,,,,,,
wt_d1338,,Rapgef3,Rapgef3,ENSMUST00000126854.3,Rap guanine nucleotide exchange factor (GEF) 3 ,mmu-miR-466i-3p,-0.75,ENSMUSG00000022469.17,-1.626212,0.033302898,,,,,,,,
wt_d1338,,Stx2,Stx2,ENSMUST00000031378.8,syntaxin 2 ,mmu-miR-466i-3p,-0.4,ENSMUSG00000029428.13,-1.6828165,5.31737e-32,,,,,,,,
wt_d1338,,Tlr9,Tlr9,ENSMUST00000062241.10,toll-like receptor 9 ,mmu-miR-466i-3p,-0.56,ENSMUSG00000045322.10,-1.792855,2.37925e-09,,,,,,,,
wt_d1338,,Slc1a2,Slc1a2,ENSMUST00000080210.4,"solute carrier family 1 (glial high affinity glutamate transporter), member 2 ",mmu-miR-466i-3p,-0.47,ENSMUSG00000005089.15,-1.9922503,1.18475e-18,,,,,,,,
wt_d1338,wt_d1338,Casz1,Casz1,ENSMUST00000122222.2,castor zinc finger 1 ,mmu-miR-466i-3p,-0.41,ENSMUSG00000028977.17,-2.0146744,2.30275e-33,85,mmu-miR-466i-3p,Casz1,castor zinc finger 1,ENSMUSG00000028977.17,Casz1,-2.0146744,2.30275e-33
wt_d1338,,Nupr1l,Nupr1l,ENSMUST00000178355.1,nuclear protein transcriptional regulator 1 like ,mmu-miR-466i-3p,-0.43,ENSMUSG00000095789.6,-2.0374656,0.006104288,,,,,,,,
wt_d1338,wt_d1338,Rnf152,Rnf152,ENSMUST00000058688.6,ring finger protein 152 ,mmu-miR-466i-3p,-2.74,ENSMUSG00000047496.6,-2.10623,0.035791738,95,mmu-miR-466i-3p,Rnf152,ring finger protein 152,ENSMUSG00000047496.6,Rnf152,-2.10623,0.035791738
wt_d1338,,Tnfsf8,Tnfsf8,ENSMUST00000030047.2,"tumor necrosis factor (ligand) superfamily, member 8 ",mmu-miR-466i-3p,-0.43,ENSMUSG00000028362.2,-2.1459382,1.22975e-15,,,,,,,,
wt_d1338,mf_wt,Htr2b,Htr2b,ENSMUST00000027431.6,5-hydroxytryptamine (serotonin) receptor 2B ,mmu-miR-466i-3p,-0.58,ENSMUSG00000026228.6,-2.1768098,0.029898475,96,mmu-miR-466i-3p,Htr2b,5-hydroxytryptamine (serotonin) receptor 2B,ENSMUSG00000026228.6,Htr2b,12.291972,1.00014e-10
wt_d1338,wt_d1338,Htr2b,Htr2b,ENSMUST00000027431.6,5-hydroxytryptamine (serotonin) receptor 2B ,mmu-miR-466i-3p,-0.58,ENSMUSG00000026228.6,-2.1768098,0.029898475,96,mmu-miR-466i-3p,Htr2b,5-hydroxytryptamine (serotonin) receptor 2B,ENSMUSG00000026228.6,Htr2b,-2.1768098,0.029898475
wt_d1338,,Itgb3,Itgb3,ENSMUST00000021028.4,integrin beta 3 ,mmu-miR-466i-3p,-0.92,ENSMUSG00000020689.4,-2.7272396,1.29996e-41,,,,,,,,
wt_d1338,,Ikzf4,Ikzf4,ENSMUST00000133342.2,IKAROS family zinc finger 4 ,mmu-miR-466i-3p,-0.6,ENSMUSG00000002578.18,-3.047807,1.5058e-16,,,,,,,,
wt_d1338,,Adm,Adm,ENSMUST00000033054.8,adrenomedullin ,mmu-miR-466i-3p,-0.5,ENSMUSG00000030790.15,-3.3187115,8.13802e-48,,,,,,,,
wt_d1338,,Cacna1b,Cacna1b,ENSMUST00000070864.8,"calcium channel, voltage-dependent, N type, alpha 1B subunit ",mmu-miR-466i-3p,-0.49,ENSMUSG00000004113.18,-3.6580656,2.86661e-24,,,,,,,,
wt_d1338,,Htr1b,Htr1b,ENSMUST00000183482.1,5-hydroxytryptamine (serotonin) receptor 1B ,mmu-miR-466i-3p,-0.42,ENSMUSG00000049511.5,-4.7675056,6.3786e-06,,,,,,,,
wt_d1338,,Slc6a19,Slc6a19,ENSMUST00000022048.5,"solute carrier family 6 (neurotransmitter transporter), member 19 ",mmu-miR-466i-3p,-0.47,ENSMUSG00000021565.16,-5.414438,2.38055e-95,,,,,,,,
wt_d1338,,Ccl28,Ccl28,ENSMUST00000099241.2,chemokine (C-C motif) ligand 28 ,mmu-miR-466i-3p,-0.47,ENSMUSG00000074715.3,-6.49623,1.70967e-06,,,,,,,,
wt_d1338,,Stx1b,Stx1b,ENSMUST00000106267.3,syntaxin 1B ,mmu-miR-466i-3p,-3.53,ENSMUSG00000030806.6,-7.73206,1.80318e-12,,,,,,,,
mf_d1338,,Slc1a2,Slc1a2,ENSMUST00000080210.4,"solute carrier family 1 (glial high affinity glutamate transporter), member 2 ",mmu-miR-466i-3p,-0.47,ENSMUSG00000005089.15,37.78298,5.87257e-05,,,,,,,,
mf_d1338,,Cacna1b,Cacna1b,ENSMUST00000070864.8,"calcium channel, voltage-dependent, N type, alpha 1B subunit ",mmu-miR-466i-3p,-0.49,ENSMUSG00000004113.18,31.238316,0.000498494,,,,,,,,
mf_d1338,mf_d1338,Adamts9,Adamts9,ENSMUST00000113438.2,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9 ",mmu-miR-466i-3p,-0.46,ENSMUSG00000030022.14,24.902493,0.005920706,90,mmu-miR-466i-3p,Adamts9,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9",ENSMUSG00000030022.14,Adamts9,24.902493,0.005920706
mf_d1338,,Tnfsf8,Tnfsf8,ENSMUST00000030047.2,"tumor necrosis factor (ligand) superfamily, member 8 ",mmu-miR-466i-3p,-0.43,ENSMUSG00000028362.2,11.0713825,4.37285e-05,,,,,,,,
mf_d1338,,Itgb3,Itgb3,ENSMUST00000021028.4,integrin beta 3 ,mmu-miR-466i-3p,-0.92,ENSMUSG00000020689.4,6.1197853,0.048956523,,,,,,,,
mf_d1338,,Slc6a19,Slc6a19,ENSMUST00000022048.5,"solute carrier family 6 (neurotransmitter transporter), member 19 ",mmu-miR-466i-3p,-0.47,ENSMUSG00000021565.16,5.351474,0.00350816,,,,,,,,
mf_d1338,,Snx24,Snx24,ENSMUST00000165032.2,sorting nexing 24 ,mmu-miR-466i-3p,-0.42,ENSMUSG00000024535.16,0.23825005,0.001008513,,,,,,,,
mf_d1338,,Mcemp1,Mcemp1,ENSMUST00000014118.2,mast cell expressed membrane protein 1 ,mmu-miR-466i-3p,-0.47,ENSMUSG00000013974.3,0.2333085,0.000812843,,,,,,,,
mf_d1338,,Trp53inp1,Trp53inp1,ENSMUST00000029865.3,transformation related protein 53 inducible nuclear protein 1 ,mmu-miR-466i-3p,-0.61,ENSMUSG00000028211.11,0.18410668,0.03553264,,,,,,,,
mf_d1338,,Ocln,Ocln,ENSMUST00000069756.5,occludin ,mmu-miR-466i-3p,-1,ENSMUSG00000021638.12,0.045950774,5.81174e-05,,,,,,,,
mf_wt,,Htr1b,Htr1b,ENSMUST00000183482.1,5-hydroxytryptamine (serotonin) receptor 1B ,mmu-miR-466i-3p,-0.42,ENSMUSG00000049511.5,75.77835,2.72537e-05,,,,,,,,
mf_wt,,Cacna1b,Cacna1b,ENSMUST00000070864.8,"calcium channel, voltage-dependent, N type, alpha 1B subunit ",mmu-miR-466i-3p,-0.49,ENSMUSG00000004113.18,40.820587,2.45156e-17,,,,,,,,
mf_wt,,Slc6a19,Slc6a19,ENSMUST00000022048.5,"solute carrier family 6 (neurotransmitter transporter), member 19 ",mmu-miR-466i-3p,-0.47,ENSMUSG00000021565.16,27.40014,1.02999e-61,,,,,,,,
mf_wt,,Stx1b,Stx1b,ENSMUST00000106267.3,syntaxin 1B ,mmu-miR-466i-3p,-3.53,ENSMUSG00000030806.6,25.405787,2.88552e-17,,,,,,,,
mf_wt,,Slc1a2,Slc1a2,ENSMUST00000080210.4,"solute carrier family 1 (glial high affinity glutamate transporter), member 2 ",mmu-miR-466i-3p,-0.47,ENSMUSG00000005089.15,20.717508,2.57331e-05,,,,,,,,
mf_wt,mf_wt,Plag1,Plag1,ENSMUST00000003369.4,pleiomorphic adenoma gene 1 ,mmu-miR-466i-3p,-0.76,ENSMUSG00000003282.9,17.500364,5.2943e-05,97,mmu-miR-466i-3p,Plag1,pleiomorphic adenoma gene 1,ENSMUSG00000003282.9,Plag1,17.500364,5.2943e-05
