TargetScore,miRNA,GeneSymbol,GeneDescription
93,mmu-miR-451a,H2afy,"H2A histone family, member Y"
92,mmu-miR-451a,Osr1,odd-skipped related transcription factor 1
90,mmu-miR-451a,Kifc5b,kinesin family member C5B
88,mmu-miR-451a,Cep55,centrosomal protein 55
87,mmu-miR-451a,Hist1h2be,"histone cluster 1, H2be"
86,mmu-miR-451a,Zfp142,zinc finger protein 142
85,mmu-miR-451a,Ints10,integrator complex subunit 10
84,mmu-miR-451a,Casq1,calsequestrin 1
82,mmu-miR-451a,Vapa,"vesicle-associated membrane protein, associated protein A"
82,mmu-miR-451a,Cdkn2d,cyclin dependent kinase inhibitor 2D
79,mmu-miR-451a,Zgrf1,"zinc finger, GRF-type containing 1"
77,mmu-miR-451a,Ybx1,Y box protein 1
74,mmu-miR-451a,Samd4b,sterile alpha motif domain containing 4B
74,mmu-miR-451a,Ak4,adenylate kinase 4
73,mmu-miR-451a,Tbx1,T-box 1
72,mmu-miR-451a,Rac1,Rac family small GTPase 1
72,mmu-miR-451a,Psmb8,"proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)"
72,mmu-miR-451a,Bex6,brain expressed family member 6
71,mmu-miR-451a,Hdac8,histone deacetylase 8
71,mmu-miR-451a,Mex3c,mex3 RNA binding family member C
71,mmu-miR-451a,Gria2,"glutamate receptor, ionotropic, AMPA2 (alpha 2)"
70,mmu-miR-451a,Bex4,brain expressed X-linked 4
66,mmu-miR-451a,Edar,ectodysplasin-A receptor
66,mmu-miR-451a,Sfmbt2,Scm-like with four mbt domains 2
66,mmu-miR-451a,Sptssa,"serine palmitoyltransferase, small subunit A"
66,mmu-miR-451a,Ccnyl1,cyclin Y-like 1
64,mmu-miR-451a,Cdh19,"cadherin 19, type 2"
64,mmu-miR-451a,Dab1,disabled 1
63,mmu-miR-451a,Tube1,epsilon-tubulin 1
63,mmu-miR-451a,Fbxo33,F-box protein 33
62,mmu-miR-451a,Ppfia2,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2"
61,mmu-miR-451a,Ppargc1a,"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha"
59,mmu-miR-451a,Rasgrp1,RAS guanyl releasing protein 1
59,mmu-miR-451a,En1,engrailed 1
59,mmu-miR-451a,Tsen15,tRNA splicing endonuclease subunit 15
58,mmu-miR-451a,Pde8b,phosphodiesterase 8B
56,mmu-miR-451a,4933402D24Rik,RIKEN cDNA 4933402D24 gene
54,mmu-miR-451a,Mroh2a,maestro heat-like repeat family member 2A
53,mmu-miR-451a,Fam171a1,"family with sequence similarity 171, member A1"
52,mmu-miR-451a,Gpr34,G protein-coupled receptor 34
51,mmu-miR-451a,Klhl5,kelch-like 5
51,mmu-miR-451a,Agps,alkylglycerone phosphate synthase
