jtb_ts,jtb_db,symbol_ts,target_gene_ts,representative_transcript_ts,gene_name_ts,representative_mi_rna_ts,cumulative_weighted_context_score_ts,ensembl_ts,fold_change_ts,padj_ts,target_score_db,mirna_db,gene_symbol_db,gene_description_db,ensembl_db,symbol_db,fold_change_db,padj_db
,wt_d1338,,,,,,,,,,90,mmu-let-7c-1-3p,Pald1,"phosphatase domain containing, paladin 1",ENSMUSG00000020092.9,Pald1,3.9339821,2.8973e-17
,wt_d1338,,,,,,,,,,81,mmu-let-7c-1-3p,Lrrc4,leucine rich repeat containing 4,ENSMUSG00000049939.6,Lrrc4,2.8221762,4.26008e-09
,wt_d1338,,,,,,,,,,86,mmu-let-7c-1-3p,Gca,grancalcin,ENSMUSG00000026893.4,Gca,2.3616524,1.16099e-14
mf_wt,wt_d1338,Scamp5,Scamp5,ENSMUST00000046587.6,secretory carrier membrane protein 5 ,mmu-let-7c-1-3p,-0.4,ENSMUSG00000040722.7,0.12758975,7.8361e-09,92,mmu-let-7c-1-3p,Scamp5,secretory carrier membrane protein 5,ENSMUSG00000040722.7,Scamp5,2.34294,1.14065e-34
wt_d1338,wt_d1338,Scamp5,Scamp5,ENSMUST00000046587.6,secretory carrier membrane protein 5 ,mmu-let-7c-1-3p,-0.4,ENSMUSG00000040722.7,2.34294,1.14065e-34,92,mmu-let-7c-1-3p,Scamp5,secretory carrier membrane protein 5,ENSMUSG00000040722.7,Scamp5,2.34294,1.14065e-34
,wt_d1338,,,,,,,,,,85,mmu-let-7c-1-3p,Fam43a,"family with sequence similarity 43, member A",ENSMUSG00000046546.3,Fam43a,2.3380256,1.7273e-39
,wt_d1338,,,,,,,,,,96,mmu-let-7c-1-3p,Ccna2,cyclin A2,ENSMUSG00000027715.9,Ccna2,2.332685,1.88773e-13
,wt_d1338,,,,,,,,,,89,mmu-let-7c-1-3p,Xk,X-linked Kx blood group,ENSMUSG00000015342.6,Xk,2.3254867,3.15922e-05
,wt_d1338,,,,,,,,,,89,mmu-let-7c-1-3p,Znrf3,zinc and ring finger 3,ENSMUSG00000041961.14,Znrf3,2.2548592,1.79729e-16
,wt_d1338,,,,,,,,,,95,mmu-let-7c-1-3p,Trim2,tripartite motif-containing 2,ENSMUSG00000027993.16,Trim2,2.1923969,2.38475e-05
,wt_d1338,,,,,,,,,,93,mmu-let-7c-1-3p,E2f8,E2F transcription factor 8,ENSMUSG00000046179.17,E2f8,2.1240232,1.4807e-11
,wt_d1338,,,,,,,,,,85,mmu-let-7c-1-3p,Nptxr,neuronal pentraxin receptor,ENSMUSG00000022421.19,Nptxr,2.0429196,0.000378392
,wt_d1338,,,,,,,,,,82,mmu-let-7c-1-3p,Cnrip1,cannabinoid receptor interacting protein 1,ENSMUSG00000044629.5,Cnrip1,1.7313752,0.037162021
,wt_d1338,,,,,,,,,,94,mmu-let-7c-1-3p,Six1,sine oculis-related homeobox 1,ENSMUSG00000051367.8,Six1,1.5913562,0.000357816
,wt_d1338,,,,,,,,,,91,mmu-let-7c-1-3p,Selenop,selenoprotein P,ENSMUSG00000064373.12,Selenop,1.5615398,0.01179497
,wt_d1338,,,,,,,,,,88,mmu-let-7c-1-3p,Samd4,sterile alpha motif domain containing 4,ENSMUSG00000021838.17,Samd4,-1.5511682,0.003740926
mf_wt,wt_d1338,Hivep2,Hivep2,ENSMUST00000191138.1,human immunodeficiency virus type I enhancer binding protein 2 ,mmu-let-7c-1-3p,-0.81,ENSMUSG00000015501.10,5.239685,7.54953e-10,85,mmu-let-7c-1-3p,Hivep2,human immunodeficiency virus type I enhancer binding protein 2,ENSMUSG00000015501.10,Hivep2,-1.5811986,1.34425e-25
wt_d1338,wt_d1338,Hivep2,Hivep2,ENSMUST00000191138.1,human immunodeficiency virus type I enhancer binding protein 2 ,mmu-let-7c-1-3p,-0.81,ENSMUSG00000015501.10,-1.5811986,1.34425e-25,85,mmu-let-7c-1-3p,Hivep2,human immunodeficiency virus type I enhancer binding protein 2,ENSMUSG00000015501.10,Hivep2,-1.5811986,1.34425e-25
,wt_d1338,,,,,,,,,,87,mmu-let-7c-1-3p,Stk39,serine/threonine kinase 39,ENSMUSG00000027030.15,Stk39,-1.6686232,3.9479e-07
wt_d1338,wt_d1338,Otud1,Otud1,ENSMUST00000052168.5,OTU domain containing 1 ,mmu-let-7c-1-3p,-0.66,ENSMUSG00000043415.5,-1.78022,1.46161e-25,100,mmu-let-7c-1-3p,Otud1,OTU domain containing 1,ENSMUSG00000043415.5,Otud1,-1.78022,1.46161e-25
,wt_d1338,,,,,,,,,,95,mmu-let-7c-1-3p,Gna13,"guanine nucleotide binding protein, alpha 13",ENSMUSG00000020611.14,Gna13,-1.9006953,2.1765e-168
