Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Usmg5	ENSMUST00000096014.3	"upregulated during skeletal muscle growth 5 "	mmu-let-7c-1-3p	-0.99
Hivep2	ENSMUST00000191138.1	"human immunodeficiency virus type I enhancer binding protein 2 "	mmu-let-7c-1-3p	-0.81
Mt2	ENSMUST00000034214.6	"metallothionein 2 "	mmu-let-7c-1-3p	-0.73
Tmed11	ENSMUST00000004943.1	"transmembrane emp24 protein transport domain containing "	mmu-let-7c-1-3p	-0.72
Sox15	ENSMUST00000047373.5	"SRY (sex determining region Y)-box 15 "	mmu-let-7c-1-3p	-0.70
Calm2	ENSMUST00000040440.6	"calmodulin 2 "	mmu-let-7c-1-3p	-0.69
Cited2	ENSMUST00000038107.7	"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2 "	mmu-let-7c-1-3p	-0.68
Otud1	ENSMUST00000052168.5	"OTU domain containing 1 "	mmu-let-7c-1-3p	-0.66
Gm8439	ENSMUST00000171482.1	"predicted gene 8439 "	mmu-let-7c-1-3p	-0.65
Nampt	ENSMUST00000020886.7	"nicotinamide phosphoribosyltransferase "	mmu-let-7c-1-3p	-0.63
Mrpl43	ENSMUST00000097715.2	"mitochondrial ribosomal protein L43 "	mmu-let-7c-1-3p	-0.62
Sox2	ENSMUST00000099151.3	"SRY (sex determining region Y)-box 2 "	mmu-let-7c-1-3p	-0.62
Cdh11	ENSMUST00000075190.3	"cadherin 11 "	mmu-let-7c-1-3p	-0.60
Gm8126	ENSMUST00000169587.1	"predicted gene 8126 "	mmu-let-7c-1-3p	-0.60
Tcerg1l	ENSMUST00000160436.1	"transcription elongation regulator 1-like "	mmu-let-7c-1-3p	-0.60
Atp5j	ENSMUST00000114193.2	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F "	mmu-let-7c-1-3p	-0.59
Ascl1	ENSMUST00000020243.7	"achaete-scute complex homolog 1 (Drosophila) "	mmu-let-7c-1-3p	-0.59
A630095E13Rik	ENSMUST00000093868.3	"RIKEN cDNA A630095E13 gene "	mmu-let-7c-1-3p	-0.59
Pdc	ENSMUST00000185698.1	"phosducin "	mmu-let-7c-1-3p	-0.56
Pdia5	ENSMUST00000023550.7	"protein disulfide isomerase associated 5 "	mmu-let-7c-1-3p	-0.54
Gm15013	ENSMUST00000183728.1	"predicted gene 15013 "	mmu-let-7c-1-3p	-0.54
Evi2a	ENSMUST00000103236.3	"ecotropic viral integration site 2a "	mmu-let-7c-1-3p	-0.54
Gm5799	ENSMUST00000169023.1	"predicted gene 5799 "	mmu-let-7c-1-3p	-0.54
Slc25a54	ENSMUST00000029478.3	"solute carrier family 25, member 54 "	mmu-let-7c-1-3p	-0.54
Nfkbia	ENSMUST00000021413.7	"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha "	mmu-let-7c-1-3p	-0.53
Arid4b	ENSMUST00000039538.9	"AT rich interactive domain 4B (RBP1-like) "	mmu-let-7c-1-3p	-0.52
Zfp81	ENSMUST00000054072.8	"zinc finger protein 81 "	mmu-let-7c-1-3p	-0.52
Sult2a7	ENSMUST00000108524.3	"sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, member 7 "	mmu-let-7c-1-3p	-0.51
Tnfrsf18	ENSMUST00000040274.8	"tumor necrosis factor receptor superfamily, member 18 "	mmu-let-7c-1-3p	-0.51
C2cd4b	ENSMUST00000171652.2	"C2 calcium-dependent domain containing 4B "	mmu-let-7c-1-3p	-0.51
Yipf6	ENSMUST00000054697.5	"Yip1 domain family, member 6 "	mmu-let-7c-1-3p	-0.50
Gclc	ENSMUST00000034905.8	"glutamate-cysteine ligase, catalytic subunit "	mmu-let-7c-1-3p	-0.50
Spink10	ENSMUST00000162365.2	"serine peptidase inhibitor, Kazal type 10 "	mmu-let-7c-1-3p	-0.49
Krr1	ENSMUST00000163048.2	"KRR1, small subunit (SSU) processome component, homolog (yeast) "	mmu-let-7c-1-3p	-0.49
